Barcode	tSNE1	tSNE2	tSNE3	celltype
G10.MAA000848.3_10_M.1.1	-7.26723305379121	-4.84955815709361	-8.91793501851552	Progenitors
P4.MAA001844.3_38_F.1.1	-24.5804156546257	0.152325024697543	-10.4150465580864	Progenitors
H14.MAA000600.3_8_M.1.1	-18.0046679338107	-8.1060662527849	-4.01934993387408	Progenitors
P2.MAA000600.3_8_M.1.1	-13.0223451319584	-10.3989620930221	-12.7950453708814	Progenitors
O6.MAA000848.3_10_M.1.1	-17.9549382208566	-5.96857206125049	-3.42162082394017	Progenitors
N12.MAA001844.3_38_F.1.1	-25.2772148036555	0.614266004749219	-10.4927661460809	Progenitors
A2.MAA001887.3_39_F.1.1	-14.4350406210515	-1.74566623206112	-10.4312151982116	Progenitors
K18.MAA000848.3_10_M.1.1	-10.980613148946	-2.24958352337064	-5.96031339674428	Progenitors
B22.MAA000600.3_8_M.1.1	-21.6810559426882	-9.2162142541177	-8.12383756026346	Progenitors
A21.MAA001844.3_38_F.1.1	-23.247053009678	0.895668158181934	-9.93664087316809	Progenitors
H7.MAA000596.3_9_M.1.1	-4.86848434435071	-4.36192452244232	-12.6930396968197	Progenitors
A15.MAA001887.3_39_F.1.1	-14.2282237616283	-1.7133134180376	-10.4276149313185	Progenitors
P16.MAA000596.3_9_M.1.1	-5.58464984497662	-4.36892701203439	-12.5073191972249	Progenitors
G17.MAA001844.3_38_F.1.1	-25.3280704425404	0.557831997431061	-9.35377117588653	Progenitors
J3.MAA001844.3_38_F.1.1	-22.6813798575021	2.64648815870521	-10.699940943372	Progenitors
C12.MAA000600.3_8_M.1.1	-24.5043745845095	-8.13846674596407	-6.55619949747484	Progenitors
E14.MAA000596.3_9_M.1.1	-6.95925579632432	-5.49672664021759	-9.44201821321555	Progenitors
D18.MAA000596.3_9_M.1.1	-13.3158049239393	-9.55832955614868	-3.484391487824	Progenitors
E13.MAA000596.3_9_M.1.1	-16.7783197325633	-7.27694874924975	-4.47883662635818	Progenitors
F19.MAA000600.3_8_M.1.1	-22.5185944727332	-8.90383526391945	-2.78248196096946	Progenitors
K3.MAA000600.3_8_M.1.1	-5.20569253857564	-6.65884841893215	-11.6921477266919	Progenitors
C5.MAA001887.3_39_F.1.1	-9.75039278966037	-0.959564679426227	-10.0823991039372	Progenitors
I13.MAA000848.3_10_M.1.1	-15.9913147671296	-4.69591171912131	-5.94997990214009	Progenitors
I16.MAA000600.3_8_M.1.1	-16.9661146748004	-9.6305629641758	-3.70747294606264	Progenitors
I2.D045140.3_38_F.1.1	-26.2432198855943	0.58109508526718	-9.54817005326427	Progenitors
I5.MAA000848.3_10_M.1.1	-15.0422929728526	-3.76818980765066	-3.14413554327187	Progenitors
C21.MAA000848.3_10_M.1.1	-17.6321044130982	-8.76674044712862	-2.77736501772485	Progenitors
I22.MAA001887.3_39_F.1.1	-10.9181988783715	-1.27946671606175	-11.4061278525098	Progenitors
M12.MAA001844.3_38_F.1.1	-14.3066015232911	1.73199449529886	-10.8388627920302	Progenitors
D10.MAA000600.3_8_M.1.1	-16.5085217228196	-8.81350724686683	-4.29551461150722	Progenitors
G9.MAA000600.3_8_M.1.1	-17.981599223019	-10.0973821321262	-6.28551765637282	Progenitors
E10.MAA000848.3_10_M.1.1	-23.8374490828303	-0.0548714371703896	-8.39715000599992	Progenitors
H2.MAA001887.3_39_F.1.1	-20.1497567969611	-5.26284239725416	-6.86331261068388	Progenitors
J15.MAA001844.3_38_F.1.1	-21.09740942086	0.902040643720766	-8.72831455506808	Progenitors
C13.MAA000600.3_8_M.1.1	-20.8820964232432	-7.67099059242522	-5.53978952603248	Progenitors
M17.MAA000596.3_9_M.1.1	-5.08532782352275	-3.81750150624875	-12.2144830455729	Progenitors
C3.MAA000596.3_9_M.1.1	-13.5750506095674	-10.9798793939915	-13.275551979483	Progenitors
K5.MAA000596.3_9_M.1.1	-23.1645081131514	-10.8194631888909	-5.75224718620068	Progenitors
E16.MAA001887.3_39_F.1.1	-22.2226589034697	-4.99347429881002	-6.41522820886993	Progenitors
L10.MAA001887.3_39_F.1.1	-6.43354373052432	-2.00591384092224	-12.1077506478852	Progenitors
H2.MAA000600.3_8_M.1.1	-24.7843803944334	-7.69715968977705	-5.7199655880451	Progenitors
M3.MAA000600.3_8_M.1.1	-12.5302499583072	-7.92963420799812	-6.42943388472518	Progenitors
F20.MAA000600.3_8_M.1.1	-16.8208321931389	-6.95260797916665	-4.58112628970962	Progenitors
A21.MAA001887.3_39_F.1.1	-16.3413862710702	-4.98647426228627	-5.17804008104478	Progenitors
H12.MAA000596.3_9_M.1.1	-8.35244554825888	-7.64028560411363	-8.29939223070974	Progenitors
F19.MAA000596.3_9_M.1.1	-17.9307542288863	-6.53841983122953	-1.95505304950068	Progenitors
A9.MAA000600.3_8_M.1.1	-22.4087550331084	-9.03768442662012	-4.6603644500795	Progenitors
K4.MAA000600.3_8_M.1.1	-17.2758709127912	-7.06297158591671	-3.73825032799435	Progenitors
F3.MAA001844.3_38_F.1.1	-21.0097027886683	0.687775624004577	-8.99277732956576	Progenitors
G8.MAA001887.3_39_F.1.1	-9.60194208461431	-0.375288151630608	-10.2304228769589	Progenitors
K17.MAA001844.3_38_F.1.1	-12.394404455078	1.81488082213221	-11.0575496731404	Progenitors
D8.MAA000600.3_8_M.1.1	-12.7875188700971	-8.24218182541764	-7.59527793709473	Progenitors
O5.MAA000848.3_10_M.1.1	-12.9029543671247	-4.90308189366516	-5.77445167071206	Progenitors
A19.MAA000848.3_10_M.1.1	-18.0436257820567	-4.27345473354349	-4.60414623743478	Progenitors
O22.MAA000596.3_9_M.1.1	-7.96535428772834	-6.601687045108	-8.69586198845015	Progenitors
E21.MAA000596.3_9_M.1.1	-5.2817106392015	-4.66149834219452	-11.613171636557	Progenitors
J1.MAA000848.3_10_M.1.1	-9.28300124541673	-3.78979002289014	-8.44160508716353	Progenitors
C1.MAA000600.3_8_M.1.1	-12.8902177888219	-5.79766083130983	-5.84108862496356	Progenitors
D7.MAA000848.3_10_M.1.1	-9.67668662440332	-3.54987836482976	-7.39202444038075	Progenitors
E18.MAA000596.3_9_M.1.1	-16.5600900738139	-10.3504014293818	-11.5967989089498	Progenitors
E1.MAA000596.3_9_M.1.1	-22.9529795253574	-10.3623603941736	-6.00212884193112	Progenitors
N3.MAA001887.3_39_F.1.1	-22.1815501346456	-5.08128416307658	-7.29753637799408	Progenitors
J10.MAA000596.3_9_M.1.1	-16.6840460334552	-8.92795037781238	-5.62425440974465	Progenitors
D17.MAA000596.3_9_M.1.1	-20.4536752423072	-10.5481937954161	-5.47388442823915	Progenitors
C14.MAA000596.3_9_M.1.1	-24.5317886066972	-8.98598574716002	-8.54821426843063	Progenitors
C20.MAA000848.3_10_M.1.1	-8.84511851838779	-3.14034628783062	-7.61431491812375	Progenitors
I8.MAA000596.3_9_M.1.1	-13.4440741520538	-8.38661812105239	-3.37689155829475	Progenitors
O17.MAA000848.3_10_M.1.1	-20.7357571361749	-5.62800971266402	-1.85616454723635	Progenitors
C21.MAA001887.3_39_F.1.1	-9.26249340151795	-1.00993930167654	-10.3722391569429	Progenitors
M5.MAA000600.3_8_M.1.1	-6.57575078583339	-7.1394674415756	-11.2783093763506	Progenitors
A9.MAA000596.3_9_M.1.1	-20.9532046177757	-7.86033051323786	-7.04400574767887	Progenitors
K13.MAA000596.3_9_M.1.1	-17.8032041364096	-9.93772183119449	-5.88711576490408	Progenitors
B1.MAA000600.3_8_M.1.1	-22.9017925144058	-8.47229743633426	-4.80762821973016	Progenitors
N19.MAA001844.3_38_F.1.1	-24.617313286506	-0.624408598908334	-10.86287552429	Progenitors
B11.MAA001844.3_38_F.1.1	-15.1472657198636	1.81628257690839	-10.8304945626156	Progenitors
I4.MAA000600.3_8_M.1.1	-13.2405877305328	-7.53459255795721	-5.86024926086965	Progenitors
B13.MAA000600.3_8_M.1.1	-14.9664877668211	-10.4589990190872	-4.54398288908315	Progenitors
P1.MAA001887.3_39_F.1.1	-23.6391554308157	-1.58632377029796	-9.51594926934005	Progenitors
J4.MAA001844.3_38_F.1.1	-25.2476883192821	-0.24796353186563	-11.3960095936825	Progenitors
M17.MAA001887.3_39_F.1.1	-20.5003111337033	-4.89102832463558	-8.47573262552571	Progenitors
P10.MAA000596.3_9_M.1.1	-21.4000094693323	-6.66690684680333	-8.58176520635249	Progenitors
K14.MAA000848.3_10_M.1.1	-19.5462264742208	-4.92416576896583	-6.11342098847561	Progenitors
I9.MAA000600.3_8_M.1.1	-8.39505210438356	-5.15042279410547	-6.82174082417304	Progenitors
I15.MAA000848.3_10_M.1.1	-6.90917415776229	-3.48759928932951	-11.3686303995006	Progenitors
B17.MAA000600.3_8_M.1.1	-7.88714753993346	-4.08799794874828	-7.85900927760968	Progenitors
A21.MAA000848.3_10_M.1.1	-19.4977209369309	-4.70654751769862	-5.73944638736966	Progenitors
H21.MAA000848.3_10_M.1.1	-23.7174174975679	-5.1938120570933	-9.09582379350051	Progenitors
C7.MAA000848.3_10_M.1.1	-12.7154166361418	-4.00496607056912	-6.19790797198833	Progenitors
A14.MAA000600.3_8_M.1.1	-14.2199519756117	-10.5932369348384	-12.1204685134157	Progenitors
O4.MAA001887.3_39_F.1.1	-6.92989950506551	-7.64930772363852	-11.1028791996901	Progenitors
L11.MAA000848.3_10_M.1.1	-14.2942652253923	-3.74012527977897	-5.94131181329331	Progenitors
B11.MAA000596.3_9_M.1.1	-8.31224260754312	-3.57720899805814	-8.92633442165809	Progenitors
H12.MAA001844.3_38_F.1.1	-21.1072194122999	1.30083653895082	-9.78423710946451	Progenitors
F21.MAA001887.3_39_F.1.1	-9.86150904222327	0.406595540054668	-9.72732731300987	Progenitors
O8.MAA001844.3_38_F.1.1	-15.6528940243282	1.74013492517622	-10.7267761974025	Progenitors
C11.MAA001887.3_39_F.1.1	-11.7391539230312	0.263554991609799	-10.2976461430305	Progenitors
G8.MAA000596.3_9_M.1.1	-14.0820699988227	-11.1058181757332	-12.8686965130001	Progenitors
J8.MAA000596.3_9_M.1.1	-13.3452726219034	-8.44760125233677	-4.12983660819287	Progenitors
D13.MAA000848.3_10_M.1.1	-8.8774979549894	-4.06663271927982	-7.91167666899737	Progenitors
M5.MAA000596.3_9_M.1.1	-5.80341733258782	-5.16045405094416	-10.0022667645785	Progenitors
G15.MAA000848.3_10_M.1.1	-9.14429459283863	-2.73615127011756	-8.36118635911729	Progenitors
A14.MAA000596.3_9_M.1.1	-12.2199573135795	-5.2589375984962	-5.07488314140116	Progenitors
H15.MAA000848.3_10_M.1.1	-10.2550225388199	-2.44861855424169	-8.04372560691863	Progenitors
K4.MAA001887.3_39_F.1.1	-7.52340763397341	-1.39696743226697	-11.6103977153273	Progenitors
A10.MAA001844.3_38_F.1.1	-24.5665879923777	0.429885358826981	-10.6482492203146	Progenitors
F1.MAA000596.3_9_M.1.1	-20.2923018322441	-10.6054468851552	-2.86842011454975	Progenitors
K11.MAA001844.3_38_F.1.1	-12.4420983962987	2.28943133199911	-11.371821060392	Progenitors
G11.MAA000848.3_10_M.1.1	-13.6964465778836	-5.17196533122206	-5.42339060040335	Progenitors
C21.MAA000600.3_8_M.1.1	8.66393247858519	8.27257086414292	18.2609492472147	Progenitors
K9.MAA000848.3_10_M.1.1	-9.9954523415227	-3.09859168720846	-7.14187656818073	Progenitors
K20.MAA000600.3_8_M.1.1	-16.0440960760874	-9.43572337036406	-6.42964620337241	Progenitors
P5.MAA000848.3_10_M.1.1	-10.111297907955	-2.4621718797247	-8.33277804808227	Progenitors
C4.MAA001887.3_39_F.1.1	-11.342723529753	-0.508510311313697	-10.274641575854	Progenitors
G16.MAA000600.3_8_M.1.1	-14.0994050480282	-7.86797412334728	-3.03893684171897	Progenitors
F22.MAA000848.3_10_M.1.1	-19.0654141494178	-9.98918667002973	-7.22501724978006	Progenitors
A13.MAA000600.3_8_M.1.1	-18.4260060894063	-8.12462738087904	-5.27795529427515	Progenitors
J11.MAA000600.3_8_M.1.1	-25.528770759583	-8.10418376749611	-5.25349911838487	Progenitors
J3.MAA000848.3_10_M.1.1	-17.9055646530983	-5.9592867239049	-3.41815540679219	Progenitors
C15.MAA000600.3_8_M.1.1	-16.112612061551	-6.5814517103196	-3.92738815891737	Progenitors
A12.MAA000596.3_9_M.1.1	-6.31656739422027	-5.64197062581812	-12.2919084281063	Progenitors
M9.MAA000600.3_8_M.1.1	-23.5015549505628	-9.22658229731324	-5.89711459501454	Progenitors
L8.MAA001887.3_39_F.1.1	-20.5986677384482	-4.69136608674981	-8.71456871388603	Progenitors
B4.MAA000848.3_10_M.1.1	-9.37122439551722	-4.16103026789741	-8.9254549837387	Progenitors
F21.MAA001844.3_38_F.1.1	-21.1574433504515	-0.471499629876049	-9.45777771512958	Progenitors
G8.MAA001844.3_38_F.1.1	-21.2428724310572	0.101167546769273	-9.28752814407232	Progenitors
P4.MAA000596.3_9_M.1.1	-23.865427690467	-6.96183058601175	-5.87727091517685	Progenitors
J4.MAA000596.3_9_M.1.1	-16.2401351198653	-10.3071077948014	-7.11447077710981	Progenitors
G20.MAA000848.3_10_M.1.1	-18.2952772690334	-5.01371556826851	-5.30815280030358	Progenitors
A19.MAA000596.3_9_M.1.1	-24.2334074760666	-6.51331101813375	-6.28353758819178	Progenitors
O1.MAA001887.3_39_F.1.1	-9.7485709711236	1.32564675417707	-10.9176132243006	Progenitors
H8.MAA000848.3_10_M.1.1	-6.73196703859502	-1.75406066176241	-9.80901979831255	Progenitors
G17.MAA000848.3_10_M.1.1	-9.73596909159627	-2.31498721392431	-7.67490848549144	Progenitors
K8.MAA000596.3_9_M.1.1	-20.9992472039771	-8.85520199444113	-8.3618905160843	Progenitors
E14.MAA000600.3_8_M.1.1	-23.8744268035057	-9.25643832489087	-8.88849169315176	Progenitors
F4.MAA000600.3_8_M.1.1	-6.40855377732853	-5.77689970892659	-10.2895594402455	Progenitors
D9.MAA000848.3_10_M.1.1	-21.661449585623	-5.02818513671294	-2.62955353539903	Progenitors
K22.MAA000596.3_9_M.1.1	-12.8611485033527	-7.13062958799531	-4.79072407483295	Progenitors
C4.MAA000848.3_10_M.1.1	-12.6523861956505	-5.17477427100434	-6.6413601041178	Progenitors
C1.MAA001844.3_38_F.1.1	-24.3071815814121	0.664645889969042	-9.60878417716405	Progenitors
A7.MAA001887.3_39_F.1.1	-8.90976597026513	0.523911690480049	-10.0046518787494	Progenitors
K18.MAA000596.3_9_M.1.1	-14.9988560887241	-7.79604213485785	-3.50642743859101	Progenitors
B10.MAA000596.3_9_M.1.1	-8.81134917614821	-5.3819127928708	-8.69539112824638	Progenitors
D10.MAA000848.3_10_M.1.1	-7.36516318851686	-1.1830296498283	-9.15591437993409	Progenitors
P9.MAA000600.3_8_M.1.1	-20.0945035447081	-7.16222060479866	-3.58855424819774	Progenitors
A21.MAA000600.3_8_M.1.1	-5.21830230200624	-3.48990606904307	-12.0861232862815	Progenitors
G2.MAA000600.3_8_M.1.1	-5.67574251955207	-7.81666092092167	-11.7228336500083	Progenitors
F4.MAA001887.3_39_F.1.1	-10.46945427578	-0.38512727347687	-9.98087800129623	Progenitors
L3.MAA000600.3_8_M.1.1	-23.1019405715693	-8.950577985126	-4.63548932723647	Progenitors
A22.MAA000848.3_10_M.1.1	-15.5439005262367	-2.73813128892246	-2.9595195659872	Progenitors
M15.MAA000848.3_10_M.1.1	-6.45422356441788	-1.57133289204254	-9.66574284092223	Progenitors
K17.MAA001887.3_39_F.1.1	-11.532147586482	-1.11582877497492	-10.9700588264576	Progenitors
M7.MAA000848.3_10_M.1.1	-18.1675274874528	-5.28947844232831	-5.90878132756922	Progenitors
D2.MAA001844.3_38_F.1.1	-22.0677829905797	1.16527714514551	-10.0363902047655	Progenitors
I22.MAA001844.3_38_F.1.1	-22.2461259429727	0.930830926245166	-7.95426027959724	Progenitors
H2.MAA001844.3_38_F.1.1	-19.8212411401569	0.839944813254174	-9.21076925349729	Progenitors
E17.MAA000848.3_10_M.1.1	-11.7077893303307	-3.88443388056535	-6.30797850859176	Progenitors
B11.MAA000600.3_8_M.1.1	-20.5552256154859	-9.08154926545861	-7.01271784272631	Progenitors
F3.MAA000848.3_10_M.1.1	-14.5399252253782	-2.62137028238694	-3.05625365840261	Progenitors
P19.MAA000600.3_8_M.1.1	-8.36870541493726	-5.52475759184294	-9.07365315894121	Progenitors
L2.MAA000848.3_10_M.1.1	-20.4793249160298	-5.95605754570689	-6.02823139225905	Progenitors
K4.MAA000848.3_10_M.1.1	-6.04945256334385	-1.83655148209486	-10.1855907579379	Progenitors
O2.MAA000848.3_10_M.1.1	-25.9135987878032	-7.50018081118042	-8.08935719153983	Progenitors
J9.MAA001887.3_39_F.1.1	-5.40733209309909	-5.22719472780203	-12.9759367115857	Progenitors
M19.MAA001844.3_38_F.1.1	-24.7964252454337	0.885274895531885	-10.255249978857	Progenitors
C19.MAA001887.3_39_F.1.1	-12.2963469462611	-1.4801033321856	-10.1424119246824	Progenitors
J8.MAA000600.3_8_M.1.1	-24.5679994620067	-8.78526032747825	-7.97163019789906	Progenitors
G2.MAA000596.3_9_M.1.1	-7.10808432287768	-5.82685350144279	-9.24166266770647	Progenitors
J15.MAA000848.3_10_M.1.1	-24.9107747313483	-7.67662375750599	-8.58829167747946	Progenitors
I3.MAA000600.3_8_M.1.1	-5.52847996591325	-5.97056308223147	-10.3131254931621	Progenitors
G7.MAA000596.3_9_M.1.1	-14.2920690401274	-8.26778590177433	-4.82896969061952	Progenitors
M21.MAA001844.3_38_F.1.1	-21.4746847292673	-0.769485098761831	-8.95671502135388	Progenitors
I21.MAA001844.3_38_F.1.1	-23.9676851494172	1.93735548999823	-9.13197861716407	Progenitors
F15.MAA000848.3_10_M.1.1	-10.7134993940162	-4.61915913993112	-7.86870318665093	Progenitors
