Barcode	tSNE1	tSNE2	tSNE3	celltype
bcEIQT:WT_3	28.6131492329928	8.70018884793613	-4.30094432257556	Erythroid
bcGWVS:WT_3	28.4493763558243	9.3081543592167	-4.06601896883116	Erythroid
bcDWGW:WT_3	27.1580558454865	7.65672604748589	-3.63996590399796	Erythroid
bcDWYE:WT_3	14.5510495995547	-9.23542564437026	-8.28019985596059	Neutrophil
bcDHYK:WT_3	27.2342718235508	9.97986428086751	-5.51373486456565	Erythroid
bcHNUJ:WT_3	26.9487980374397	7.28149927739804	-3.98383140025012	NK/T cell
bcBHWX:WT_3	21.1444410329238	-6.83163548259588	-0.852659616168198	NK/T cell
bcCARV:WT_3	27.1276603681846	7.80770547880018	-3.63411939365936	Erythroid
bcEAKD:WT_3	27.8235675680618	15.2236327037478	-6.80680753938777	Erythroid
bcAPMP:WT_3	26.9679529348595	9.54986888465447	-4.15368026041245	Erythroid
bcHFOV:WT_3	28.0538202279619	16.1695017440673	-7.24853056480189	Erythroid
bcGXWS:WT_3	15.9087980711101	-9.52169142715201	-14.0504368903874	Neutrophil
bcAOSK:WT_3	14.9735665676204	-8.7652013343257	-10.1706414300964	Neutrophil
bcGRTG:WT_3	27.866887093054	7.25242593479461	-3.66004977046578	NK/T cell
bcHUTR:WT_3	27.3943194499443	14.8251797341041	-6.47757105668118	Erythroid
bcBESN:WT_3	27.0850705486417	14.962033964065	-6.53894547992153	Erythroid
bcCAOW:WT_3	28.2578615906227	7.59051385619604	-3.95042889324839	Erythroid
bcEXMB:WT_3	27.2666903529394	8.67475659854976	-4.33263668430262	Erythroid
bcDNBG:WT_3	28.411753042503	6.93135547196427	-3.60797564884899	Neutrophil
bcCGIO:WT_3	28.3723003541982	8.01007821803988	-4.045693943766	Erythroid
bcEFFZ:WT_3	14.9538839675221	-8.87796360797137	-10.5062956072276	Neutrophil
bcAFKP:WT_3	21.8367072915409	-6.00142350885906	-0.548760327194305	Macrophage
bcENNI:WT_3	26.9709774757239	14.4843793327378	-6.23480521525437	Erythroid
bcDVJI:WT_3	27.5014199852921	15.1228593393141	-6.61294393822451	Erythroid
bcEYRH:WT_3	-13.661858236159	7.55460922819852	19.0706469385716	Macrophage
bcFMDK:WT_3	27.5908836261363	7.50756229039176	-3.8744883111964	Erythroid
bcGVNG:WT_3	27.5570664441938	15.6011207926827	-7.08324671887938	Erythroid
bcCXNO:WT_3	27.7465637620386	15.4306978259719	-6.92179634452103	Erythroid
bcCIMM:WT_3	14.954946806979	-8.72682304211596	-9.93506159409388	NK/T cell
bcEGPQ:WT_3	27.1786216119131	8.09655207891466	-4.14667011210415	Erythroid
bcCUPJ:WT_3	12.328231678539	-21.0761098644181	-2.9027349898206	Neutrophil
