Barcode	tSNE1	tSNE2	tSNE3	celltype_refined
N19.MAA000596.3_9_M.1.1	-25.2173760380054	-5.71818259828758	-5.08250275270096	Progenitors
P15.MAA000848.3_10_M.1.1	-20.2700669851732	-0.942963226440147	-3.53523101448139	Progenitors
H5.MAA001844.3_38_F.1.1	-17.8639651897501	3.10975118873044	-5.37404399723745	Progenitors
L18.MAA000600.3_8_M.1.1	-20.1849062130222	6.93221919349998	-19.1129901211667	Progenitors
O5.MAA000596.3_9_M.1.1	-26.1630578908791	-1.85388962956766	-5.36037222471764	Progenitors
L10.MAA000596.3_9_M.1.1	-21.9514879991705	6.24410778267806	-18.1589658232647	Progenitors
G7.MAA000600.3_8_M.1.1	-21.9919771181245	-3.08861624593685	-6.86553513645984	Progenitors
A19.MAA000848.3_10_M.1.1	-18.6263500101739	-2.49334719392591	-5.6566308433745	Progenitors
G2.MAA001844.3_38_F.1.1	-17.5641119527143	3.7916651180648	1.53667886765556	Progenitors
E8.MAA000848.3_10_M.1.1	-20.8051433335452	-5.09424498147546	-5.14130939311664	Progenitors
I22.MAA001887.3_39_F.1.1	-16.9074426678967	4.20940510700723	-12.340948777095	Progenitors
E9.MAA000600.3_8_M.1.1	-22.8120933397294	-5.59021618697437	-1.03134323115615	Progenitors
K4.MAA001887.3_39_F.1.1	-16.799036296522	7.15879186744663	-14.1599763591152	Progenitors
F10.MAA000600.3_8_M.1.1	-20.0845641314929	3.36186224888814	-16.5445788153402	Progenitors
G12.MAA000600.3_8_M.1.1	-23.5119197408064	-1.56220539737508	-8.93430219509121	Progenitors
P6.MAA000596.3_9_M.1.1	-17.6332949245335	2.12991123809316	-13.537571308281	Progenitors
F11.MAA000848.3_10_M.1.1	-13.7343988013284	5.80142778831792	-15.3593364254929	Progenitors
P4.MAA000848.3_10_M.1.1	-20.6572761314502	-0.0178189252937699	-5.02690361779113	Progenitors
H7.MAA000600.3_8_M.1.1	-23.4026603697561	-2.92907197837664	-0.585026006203381	Progenitors
H18.MAA000596.3_9_M.1.1	-22.8962141420001	-3.39376716874922	1.07868054228919	Progenitors
A13.MAA000596.3_9_M.1.1	-20.2193429611929	6.48750964615867	-17.1658845209985	Progenitors
H12.MAA001844.3_38_F.1.1	-17.7202909446343	4.59287395967736	-0.664607652334104	Progenitors
H20.MAA000596.3_9_M.1.1	-19.3206502294864	-4.85686149771876	-6.40832476409805	Progenitors
H7.MAA000848.3_10_M.1.1	-20.8012275700689	-2.7817135624707	-6.41194069430305	Progenitors
M17.MAA001887.3_39_F.1.1	-20.3854544723011	1.3544881203557	-4.04703196180345	Progenitors
N21.MAA000848.3_10_M.1.1	-15.6539552587774	3.89066308004707	-15.1041726133499	Progenitors
O3.MAA001887.3_39_F.1.1	-19.3577253200766	1.0892964660419	-2.34278826643206	Progenitors
F1.MAA000596.3_9_M.1.1	-24.6945884404791	-4.79203487868811	-0.615082375489617	Progenitors
K14.MAA000600.3_8_M.1.1	-20.5489112582009	-2.94061384666349	-0.846514922731162	Progenitors
M4.MAA001887.3_39_F.1.1	-14.6791186364301	6.30000407639908	-12.7070104272998	Progenitors
B5.MAA000600.3_8_M.1.1	-14.5473738764196	7.01364447147315	-16.4611671703307	Progenitors
B14.MAA001887.3_39_F.1.1	-20.5663205082874	1.23145563808985	-2.96613213562058	Progenitors
A9.MAA000848.3_10_M.1.1	-20.8291694894873	5.15922002853234	-14.674735158926	Progenitors
E17.MAA000848.3_10_M.1.1	-15.5744687970742	2.26553372129071	-11.8128319609446	Progenitors
G15.MAA000596.3_9_M.1.1	-20.9711624743231	6.57108125884081	-17.8701654729557	Progenitors
B19.MAA000596.3_9_M.1.1	-18.1858074501973	3.22585856301619	-12.5271682569729	Progenitors
G10.MAA000848.3_10_M.1.1	-16.6937766242073	3.53651485263381	-15.1880451058356	Progenitors
F4.MAA001887.3_39_F.1.1	-15.8493602512331	5.0144909076419	-12.0692216961059	Progenitors
C10.MAA001844.3_38_F.1.1	-18.4722012727173	3.72006964043975	2.30208479321387	Progenitors
C8.MAA000848.3_10_M.1.1	-21.1468033517341	-2.07520015035321	0.121253018279923	Progenitors
P13.MAA000596.3_9_M.1.1	-22.3729609544077	-2.89771874746422	-3.65620202271501	Progenitors
P16.MAA000848.3_10_M.1.1	-18.3286871363734	4.50105147452822	-13.7014394345152	Progenitors
E13.MAA000848.3_10_M.1.1	-15.9478216266204	5.93008990770257	-15.7482223816723	Progenitors
P4.MAA000596.3_9_M.1.1	-23.2902282538966	-1.75721730211313	1.4875698419906	Progenitors
M5.MAA000848.3_10_M.1.1	-15.4281457478079	1.80957211182143	-15.2298301575683	Progenitors
B16.MAA001888.3_39_F.1.1	-15.0394057994509	4.80051894744876	-14.2152792660802	Progenitors
N3.MAA000848.3_10_M.1.1	-18.0202024061183	-1.77758184019501	-4.29300421756263	Progenitors
M9.MAA001887.3_39_F.1.1	-19.050081039967	0.876326417067013	-6.04544133534422	Progenitors
I22.MAA000848.3_10_M.1.1	-20.6300737562696	-3.38480308331986	-5.12007145765639	Progenitors
D8.MAA000600.3_8_M.1.1	-19.7822517679975	0.0577765356636749	-12.1526983776787	Progenitors
K10.MAA000848.3_10_M.1.1	-22.1093105136058	-5.1524922292593	-5.69851170810575	Progenitors
N17.MAA000600.3_8_M.1.1	-22.1562368225377	-0.999922218160871	-0.072729393350557	Progenitors
O20.MAA000600.3_8_M.1.1	-20.1160025909469	4.19198914181035	-17.2581062762642	Progenitors
L5.MAA000848.3_10_M.1.1	-17.1127337205998	6.19350848760145	-16.4903902264928	Progenitors
