PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
dld	ace	lamb2	mmp14b	tubb6	galm	riok3	ypel1
ncam1b	pglyrp2	lama5	chmp1b	adgre14	hyi	iscub	plekhh1
grhl2b	fkbpl	lamc1	nfkb2	rap1gap2a	atox1	eif6	rps26
znf609a	hmx4	galnt12	slc30a1a	itga4	lta4h	npas4a	eef1a1l1
meis1b	lipf	spry2	nipa2	aqp4	slc31a1	xrcc4	bnip3
tet3	nop56	idh1	snx18a	dbi	pde1a	mgmt	pparaa
trim2a	tinagl1	syne1b	plekhf2	macf1a	fkbp4	rad50	rpl5a
tbx3a	sord	calua	chmp2bb	treh	pank4	nfs1	rps19
mbnl2	fbl	f10	rabgef1	gng13b	fbp1a	nubp1	eif4a1a
hmgb2b	sertad4	fosab	myrf	itgb1a	rreb1a	hdhd2	rps18
crb2b	dao.1	ets2	akr1a1a	fermt2	sult2st1	abcf1	fzd7b
nbeaa	shmt1	plod3	lamp2	rap1aa	amdhd2	mre11a	rpl15
sdc2	slc25a4	tnrc18	elovl1b	zfp64	agtrap	rpa1	rps14
tle3b	hspd1	p4hb	chmp5b	snx17	hspa8	gstt1a	kdm6a
rbfox1	gar1	ppib	bphl	fam107b	txn	rtcb	rps10
nkd1	nap1l1	prkab1a	dram2b	mapre1a	cept1a	zbtb8os	rpl3
add3a	c1qbp	fkbp14	jund	adcy8	itpkb	prpf31	rpl36
smtna	nme2a	pdia3	phldb1a	tln2a	atp1b1a	atf4a	rpl12
txnipa	rps2	sh3d19	chia.4	twf1b	plcb3	cebpg	rps17
ssbp3a	pa2g4b	gale	laptm4a	tnfaip8l1	sod1	otulina	rpl26
rcc2	rsl24d1	vtg3	gab1	ak1	aip	nubp2	rpl11
her9	rps15a	kdrl	grb2b	coro7	slc12a3	psme3	sgpl1
lrrn1	rps20	atp8b1	arpc3	sorbs3	dnajc1	cox17	rps29
arhgef10la	ak2	prdx4	vta1	itgb7	eaf1	acsbg1	rpl10a
pax6a	nop10	hibadha	spns1	flncb	ak3	mocs1	rpl27
plekha5	mipb	c1galt1a	dazap2	tubb2	pabpc1a	cox19	apodb
veph1	tomm40	hsd17b10	ap2m1b	rab11a	fryl	mlst8	rpl37
brdt	rbm34	stat5a	chkb	atp8a2	pgd	polr2k	tespa1
ctbp1	serbp1a	fndc3bb	cltca	lmnb2	rbpms2a	znf622	rpl17
ckmt1	ddx47	cpda	manbal	zc2hc1a	zfand5b	trip4	rps27a
usp54a	gltpa		vps28	tuba1a	ndufa13	sbds	rps16
igsf9bb	umps		rhoh	fmnl2a	lpin1	akr7a3	gtpbp4
gstm.2	paics		serpinb1	prom1a	slc2a2	furina	rps6
g3bp1	trip11		itsn1	pxna	ahsa1a	polr2l	rps15
rerea	mrto4		keap1b	fam43a	rpap2	nt5c2b	rpl19
tec	llph		dynlt1	rab11fip4a	ccng2	ubxn1	slc41a1
fzd5	hlfa		clk2a	gapdh	sntb1	ppm1bb	rps8b
