qp_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.27938763567368e-210	1.37997118020568	0.507	0.002	1.04683671274316e-205	PH 1	Dl
5.02846974912279e-197	1.47559593801081	0.531	0.007	8.3829619187626e-193	PH 1	Fas2
7.00742520606293e-192	1.11735578712544	0.459	0.003	1.16820785610275e-187	PH 1	grh
9.31385884225976e-191	1.41197684449275	0.792	0.384	1.55271340759312e-186	PH 1	sbb
2.88548233737297e-189	1.44814898893857	0.44	0.002	4.81038760463448e-185	PH 1	ab
3.96882395277754e-186	1.77697571517414	0.522	0.177	6.61642641167543e-182	PH 1	hth
7.56257294535121e-182	1.67984586304996	0.589	0.084	1.2607565357195e-177	PH 1	Tet
4.39260953314784e-176	1.64510585358587	0.749	0.379	7.32291935271077e-172	PH 1	brat
1.04868122688936e-169	1.34906311838875	0.42	0.003	1.74825647334724e-165	PH 1	CG42342
3.3189963085085e-165	1.49605579116598	0.372	0.001	5.53309874591452e-161	PH 1	bi
1.54154687021319e-162	1.57987260527134	0.473	0.017	2.56991278733241e-158	PH 1	E(spl)m3-HLH
7.95798828127298e-160	1.15194905267091	0.464	0.025	1.32667622637102e-155	PH 1	CG10939
2.68869412918175e-157	0.992244092922592	0.391	0.002	4.4823219827589e-153	PH 1	ft
3.11760605268458e-155	1.21563990786207	0.382	0.001	5.19736105043046e-151	PH 1	fj
5.96349689259956e-153	1.40414736205817	0.787	0.313	9.94174566965272e-149	PH 1	mbl
5.41705798080461e-150	1.28925468951139	0.787	0.414	9.03077735979937e-146	PH 1	Dsp1
1.9487834413763e-143	0.839914337379172	0.353	0.002	3.24881687511844e-139	PH 1	crb
1.59739493250217e-142	1.14587629730719	0.449	0.011	2.66301709197437e-138	PH 1	rg
2.45519918495859e-142	1.23906154979691	0.623	0.074	4.09306256124447e-138	PH 1	Sdc
1.38275327737372e-137	0.911266240628051	0.329	0.001	2.30518798870972e-133	PH 1	ovo
2.29960221330067e-136	0.752338650824145	0.319	0.001	3.83366684979355e-132	PH 1	CG18507
5.10776849654994e-135	1.33767419444838	0.657	0.262	8.5151608605984e-131	PH 1	jim
3.75343683895764e-133	1.23507245177612	0.715	0.339	6.25735455422628e-129	PH 1	gro
9.89630397304059e-133	1.47326993962683	0.623	0.246	1.6498128353456e-128	PH 1	Rbfox1
8.07046275814793e-132	0.969744929423775	0.367	0.005	1.34542684641084e-127	PH 1	nkd
4.70240295031271e-131	1.29425531440154	0.469	0.019	7.83937595846632e-127	PH 1	Ten-a
7.22457056434926e-130	1.16842996447122	0.681	0.274	1.20440815878266e-125	PH 1	hts
2.42241734354207e-128	1.21417302961129	0.454	0.059	4.03841195341898e-124	PH 1	CG34417
4.97901355890881e-125	1.12363221133893	0.783	0.503	8.30051350405688e-121	PH 1	crol
1.21195926638403e-122	1.12933440261149	0.787	0.449	2.02045729298881e-118	PH 1	Ssdp
1.79918100890387e-119	0.93434869648133	0.377	0.008	2.99941465994365e-115	PH 1	Lac
4.28821044823347e-118	1.10321971346102	0.575	0.165	7.14887563825001e-114	PH 1	CG9135
2.40255136961933e-114	0.666954541442406	0.251	0	4.00529338829239e-110	PH 1	dpn
6.36860361731433e-114	0.797256544963646	0.353	0.006	1.06170990904247e-109	PH 1	Fas1
2.97652378815044e-113	0.902863272321318	0.275	0.001	4.9621628072256e-109	PH 1	trn
7.95130864248516e-113	1.16924358487097	0.42	0.025	1.3255626637887e-108	PH 1	CG43658
1.23775393692294e-112	0.804762608370462	0.275	0.001	2.06345958824423e-108	PH 1	toy
2.93704236497221e-110	0.669277763387703	0.309	0.003	4.89634332664517e-106	PH 1	CG34383
5.40683999894054e-108	0.579630699083111	0.256	0.001	9.01374296223378e-104	PH 1	melt
1.13736107150462e-107	1.09136885257006	0.836	0.664	1.89609464230536e-103	PH 1	fs(1)h
4.15533198476175e-105	0.871475248735587	0.903	0.849	6.92735395179631e-101	PH 1	CtBP
1.74990169635682e-102	1.4418399642994	0.3	0.009	2.91726111799646e-98	PH 1	Argk
2.76270012670385e-102	0.659811639129541	0.333	0.006	4.60569738122798e-98	PH 1	ec
7.81719597750756e-102	0.763217497819628	0.304	0.005	1.30320474141029e-97	PH 1	tutl
5.47860228950413e-101	1.30867174950667	0.469	0.043	9.13337787683233e-97	PH 1	GstS1
2.91523709596149e-98	0.906359198471253	0.908	0.829	4.8599917626774e-94	PH 1	rin
3.46776541619892e-98	1.15703937820618	0.536	0.174	5.78111172534522e-94	PH 1	Gug
2.94645450198877e-94	1.02494531308187	0.536	0.12	4.91203430026547e-90	PH 1	Btk29A
6.69515811712e-94	1.13945159850611	0.444	0.069	1.11614980970508e-89	PH 1	fz2
1.19799410768359e-92	0.678525741751425	0.333	0.007	1.99717597691931e-88	PH 1	CG44838
4.17752510473022e-88	1.03240588472732	0.396	0.039	6.96435210209576e-84	PH 1	Phs
1.61813903539366e-87	0.525797286776153	0.256	0.002	2.69759958590477e-83	PH 1	CG42673
1.92271662159273e-86	0.599372370133637	0.261	0.003	3.20536087985724e-82	PH 1	CG18190
1.26279542906384e-85	1.00172828219208	0.802	0.632	2.10520625979233e-81	PH 1	kis
1.89533728694701e-85	0.998143337058203	0.942	0.914	3.15971679106936e-81	PH 1	HmgD
2.45107651577237e-83	0.664255714081687	0.309	0.013	4.08618965944412e-79	PH 1	dpy
1.41631443545645e-82	0.695276985524046	0.918	0.936	2.36113779534945e-78	PH 1	His4r
2.69095303124632e-82	0.922847869379847	0.42	0.05	4.48608779839074e-78	PH 1	pyd
1.21249992156471e-81	1.00435305673608	0.362	0.048	2.02135861924053e-77	PH 1	Sema1a
2.60232260076987e-78	0.910324216449534	0.792	0.587	4.33833200774345e-74	PH 1	Pabp2
9.67359626167169e-74	0.893870564930146	0.696	0.422	1.61268523278329e-69	PH 1	tral
