celltype	PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
Progenitors	-0.169361155114686	0.591380328611989	0.00718920686171015	-0.11323285256571	-0.149620780682042	0.270219386656873	0.00522744646516243	0.366180283973279
Granulocyte progenitor	0.0931169447679466	-0.19901064830486	0.178816549222941	0.0443825660711213	0.0207141546772782	-0.0589837653288164	0.0456863560902541	-0.171818368233768
Erythroids	-0.0895314294726567	0.396584196793448	-0.199365200434177	-0.234379552447544	-0.160472200757497	0.109816326024775	0.184835247509175	-0.145474563280408
Monocytes	-0.0352103529523502	-0.407854640803239	0.216094142767732	0.401691177222108	0.247390955719266	0.0857662123283959	0.0475161601680266	-0.142608507665291
DC	-0.0444626274008467	0.0107218335837981	0.0239491330114412	0.283129447284456	0.328819871027038	0.0307215975985168	0.176655844191599	-0.0287978309935619
pDC	0.0230394965971192	-0.104443937759815	0.332936947601683	0.0827614837167045	0.0400185427513643	-0.0600552861801506	0.081042154550959	-0.243222698359875
T cells	-0.180956291563529	0.268477603194475	-0.00331573332556725	-0.355659275255981	-0.198352751627516	0.021729259930361	-0.101527726732488	0.479013890181298
CD8 T cells	-0.158216191718791	0.16901505008886	-0.0226354132130702	-0.332375544674954	-0.199544564925654	-0.099884430712648	-0.134714091630459	0.341935598043442
NK cells	-0.143031090016263	-0.375268102976626	0.0486811421672964	-0.0896381924513845	-0.00464029873031985	-0.0969209198486268	0.0136219931649682	-0.48644952873343
pre-PC	0.238234284390632	0.0267253869671074	-0.297755863634386	0.0754927080762497	-0.0867521935251794	-0.175285202287557	-0.1223676670564	0.0441170140057939
pro-B cells	0.369436967129298	0.171868941170882	-0.438723952877741	-0.342074951466929	-0.120466932392532	-0.210648384243743	0.0681923889748829	-0.406068007485344
pre-B cells	0.164085954937083	-0.169296448896344	-0.354733256429106	-0.210431707782749	-0.0718174946879703	-0.172852555953087	-0.187029345291695	-0.109207215537638
B cells	-0.0914593534703886	0.159500262995085	-0.362005217227042	-0.251563571278586	-0.1775446842323	-0.252644139696134	-0.121548679990419	0.533712423074629
Plasma cells	-0.216886354833789	-0.123950775002417	0.434961616777365	-0.0406095770971722	0.0702727598720905	0.0904387780077913	-0.202510018180038	-0.417557593843992
Platelet	0.0234002558892498	-0.243865741834783	0.232392281409856	0.280409905887571	0.257548546037067	0.312806795141426	0.0382452225923511	-0.00747771848995213
