celltype	PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
Granulocyte progenitor (hcl)	0.0970451301699158	0.455134268792762	0.00885539246384121	-0.425891843407863	-0.192143255828235	0.107078808886475	-0.328006841095535	0.430739415069195
Neutrophils (hcl)	0.311645937964078	-0.382539290236549	0.175387465658432	0.0799208854893248	0.0342789719161891	0.0888364897705646	-0.175842188975384	-0.176033728661898
Erythroids (hcl)	0.103833598896329	0.533899231251581	-0.225065159273156	-0.291927050663271	-0.258701143201208	-0.183178927787918	-0.064883382165769	0.0355453863020388
Monocytes (hcl)	-0.187596308196779	-0.520917735370611	0.288264679508392	0.539300195635735	0.185163343759381	-0.105320739077103	0.0432317386022852	-0.327609120049929
Macrophage (hcl)	-0.208745690791748	-0.169874953356671	-0.0445111916981743	0.364961571253824	0.264108082881288	0.0786375848670026	0.154193672481859	-0.394726506246083
DC (hcl)	-0.233668166440572	-0.0619652255575075	0.000141183742000228	0.272794627825053	0.197426883680762	0.00149913012530506	0.187879128129348	0.254870934970862
pDC (hcl)	-0.117133701387294	-0.224888350687408	0.110471597009999	0.112939228595867	0.0892076390887228	0.0345350734533353	0.00182904671561709	-0.0647863606566009
T cells (hcl)	0.0838045243070357	0.280177561959155	-0.248261120061596	-0.307670859000025	-0.247107430595858	-0.15472110559543	0.0952546370129595	0.330404521430294
NK cells (hcl)	-0.0933173266668738	-0.210214223154466	-0.0349327227864082	-0.163976875601215	0.0109682807767985	0.121752056165635	0.15757087205932	-0.380862027767095
B cells (hcl)	0.0810655087195301	-0.0738268616788796	-0.305268724129834	0.0140933873119338	0.00282894411027577	-0.156011092825396	-0.0209448929735971	0.181217756199809
Plasma cell (hcl)	-0.190743934956365	0.0678656500824016	0.332655085031074	-0.164658598869097	-0.0536697590979894	0.0992281943023682	-0.250905698495178	0.192011615714574
