PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
DLL1	ACE	LAMB2	MMP14	TUBA1A	GALM	KCNAB2	YPEL2
NCAM2	PGLYRP2	LAMA5	CHMP1B	TUBB6	C11orf54	RIOK3	PLEKHH1
GRHL1	NOP56	LAMC1	NFKB1	ADGRF1	ME1	ISCU	RPS26
ZNF609	TINAGL1	GALNT12	SLC30A1	RAP1GAP	HYI	EIF6	EEF1A2
ZBTB37	SORD	SPRY2	NIPA2	ITGA4	ATOX1	NPAS4	BNIP3
MEIS1	FBL	IDH1	SNX33	DBI	LTA4H	HSD17B14	PPARA
TET3	SERTAD4	SYNE1	PLEKHF2	JPT1	SLC31A1	XRCC4	RPL5
TRIM3	DAO	CALU	CHMP2B	DST	PDE1A	MGMT	RPS19
COL13A1	SHMT1	FOS	RABGEF1	TREH	FKBP4	RAD50	EIF4A2
TBX2	SLC25A4	ETS1	MYRF	GNG13	PANK4	NFS1	RPS18
HES6	HSPD1	PLOD3	CHMP2A	ITGB1	FBP2	MAD2L2	RPL37A
SLC9A3R1	GAR1	TNRC18	LAMP1	FERMT2	RREB1	NUBP1	FZD1
FAT4	NAP1L1	P4HB	CHMP5	RAP1A	PRSS41	HDHD2	RPL15
FJX1	C1QBP	PPIB	BPHL	CALM1	SULT1A4	ABCF1	RACK1
MBNL2	NME1	SHANK1	DRAM1	ZNF462	CPA3	MRE11	RPS14
HMGB3	RPS2	AKR1B10	JUND	SNX17	NINJ2	RPA1	KDM6A
CRB1	PA2G4	PRKAB1	PHLDB1	FAM107B	SLCO5A1	RTCB	RPL3
NBEA	RSL24D1	FKBP14	LAPTM4A	MAPRE1	RUNX2	ZBTB8OS	RPL36
SDC4	RPS15A	PDIA3	GAB2	TLN2	ZBTB7A	PRPF31	RPL12
OVOL1	RPS20	SH3D19	SERPINI1	TWF1	AMDHD2	ATF4	RPS17
TMEM268	AK2	GALE	GRB2	TNFAIP8	ARRDC4	CEBPG	RPL26
ZNF708	NOP10	FLT4	ARPC3	AK1	AGTRAP	NUBP2	RPL11
TLE4	TOMM40	ATP8B2	VTA1	CORO7-PAM16	MTR	GHITM	SGPL1
RBFOX1	RBM34	TM9SF2	SPNS1	SORBS3	HSPA8	PSME3	RPS29
NKD1	SERBP1	PRDX4	DAZAP2	FLNA	TXN	COX17	RPL10A
TENM3	DDX47	HIBADH	AP2M1	TUBB2A	CEPT1	APLF	RPL27
ADD1	GLTP	C1GALT1	CHKB	SEMA6B	CYB561D1	ACSBG2	APOD
SMTNL1	UMPS	HSD17B10	CLTC	RAB11A	ITPKA	MOCS1	RPL37
ZNF569	PAICS	STAT5B	MANBAL	ATP8A1	INPP5K	COX19	RPL17-C18orf32
SSBP3	TRIP11	ACADSB	VPS28	LMNB2	ATP1B1	MLST8	RPS27A
NEGR1	MRTO4	FNDC3A	RHOH	ZC2HC1A	PLCB1	TIMM17B	RPS16
RCC2	LLPH	CPD	SERPINB1	TUBA3D	SOD1	POLR2K	SEC14L3
HES1	HLF		ITSN1	FMNL3	AIP	ZNF622	GTPBP4
POSTN	HSPG2		PDCL3	PROM1	SLC12A2	TRIP4	RPS6
LRRN2	DDX27		KEAP1	CTSV	DNAJC1	SBDS	RPS15
ARHGEF10L	NIFK		DYNLT1	TPSB2	EAF1	AKR7A2	RPL19
PAX6	BMI1		CLK2	PXN	AK3	FURIN	SLC41A1
PLEKHA5	MECOM		TSG101	FAM43A	PABPC4	POLR2L	RPS8
VEPH1			SVIP	TPPP3	FRYL	NT5C2	RPL7
BRD4			DENND1B	RAB11FIP4	PGD	UBXN1	RPS9
CTBP2			ALDH7A1	ITGA6	RBPMS	PPM1A	PYCR3
CKM			SKP1	DGKB	ZFAND6	NEMF	RPL32
USP54			NPEPL1	RAB35	NDUFA13	ADSSL1	RPL28
IGSF9			NAPA	ABL2	LPIN3	EFL1	EEF1B2
HPGDS			PLSCR1	ADA2	SLC2A7	KIAA0930	RPL8
G3BP1			HSPA5	BVES	NAXD	AFG3L2	SLC25A22
RERE				ARRB1	AHSA1	ANXA11	RPS23
TEC				ITGA9	RPAP2	LYRM4	RPL7A
FZD5				PLPP3	CCNG1	GLS	RCHY1
OSTF1				SCAMP3	C2CD2	ALDH2	RPS24
TPO				ATP9B	SNTB1	AMPD2	RPL6
NOS1AP				TXNDC9	MTAP	GCLC	HSD11B2
MAPRE2				DEGS2	NUCB2	MTHFSD	ST20-MTHFS
CHD7				PITPNM2	PEX13	APRT	RPL4
HMGB2				GDAP2	DYRK4	IFRD1	RPL18
FBN2				HRAS	ALDH3B1	SNRNP200	PAIP2B
HIST1H4L				CYGB	ELL2	NEDD4L	SMIM14
TJP2				NDRG3	PELI2	RRM1	CERK
SEMA6A				NKAIN2	HERC4	TOMM20	TCP11L1
PABPN1				INPP5F	NUDC	SART1	SAMD11
LSM14A				RAPGEF1	PWP1	GSPT1	NSA2
BTBD8				PICALM	CDC37	SNRNP27	ANKRD50
DAZAP1				GRK5	XPNPEP1	METTL4	MEMO1
CNBP				EPS8L2	GALNT13	MRPL30	LDLRAD4
TRIM71				PHACTR1	CHORDC1	CNOT7	LTV1
DYNLL2				VCL	PPIP5K2	XRCC1	UBE2H
SMARCA1				CAPN9	SLC16A8	COA3	MSRB3
KPNA2				QDPR	CS	EIF2S1	SLC29A1
KANK2				LCP1	PCYT2	SMPD1	TXNIP
DCP2				KIF16B	PSMD7	HES4	IP6K1
SOCS4				MAP7D1		SERHL2	DHTKD1
TFAP4				PARVB		SFXN1	SCP2
PRC1				PFDN4		BAHD1	IGF1R
RSF1				CFL2		SLC39A10	ANKRD13D
ANP32B				CLIC2			EHBP1
ENDOU				TPI1			PDE9A
SUMO3				SNX6			PEPD
TOP2A				RAB1A			MOB1B
CSNK1G2				SHTN1			CREBL2
NCOR1				STX1A			SLC22A4
LRP2				GRAMD1B			SLC35F6
SYTL4				UVRAG			ZFP36L1
MPP5				RRAS2			RB1CC1
SLC20A1				ILK			FAM76A
EP300				PTGER3			EIF3L
ZSWIM8				KCNJ2			PTP4A2
ATF7IP				INPP1			SERAC1
AGO2				LNPK			NGLY1
TLK2				JPT2			SLC30A4
EPHB1				HSP90B1			MEF2C
CASKIN1				ACAT2			FEM1C
IGF2BP2				ESYT2			DNAJC8
GLI3				RHPN2			MAN2B1
CBX1				ARHGDIA			PAK1
