celltype	PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
Progenitors (MCA)	-0.0802089659000227	0.527366497787096	-0.174869396822869	-0.0874427415986747	-0.0809816822134622	0.040464640934561	0.144657222810916	-0.210929470032193
Erythroids (MCA)	0.0756504730668305	0.432251675284124	-0.523497666259632	-0.394288050828717	-0.311879711407306	-0.193964908200694	0.248732729450585	0.0112982986247742
Monocytes (MCA)	-0.236708904835312	-0.450317289538073	0.262215692324954	0.425545251044974	0.314478588038229	0.182496310471946	-0.124218778722917	0.0914116505180491
Macrophage (MCA)	0.0208709196870335	-0.0763781621752264	-0.165072824606527	0.331218461895228	0.0841678007362013	0.25373467702854	-0.179384405133553	-0.218035618022425
pDC (MCA)	-0.034453657709298	-0.403744697136453	0.29059067504046	0.095395048693744	0.0433944421948869	0.0714924369180113	0.0234160739149494	-0.13442559514467
Basophil (MCA)	0.119601666069566	-0.0027453045716368	0.423217350569151	0.105435094812256	0.188582517214017	-0.152924734982795	0.020086237531064	-0.0716992605699303
T cells (MCA)	-0.0562708791311117	0.276737692359636	-0.469708761466212	-0.150828188963498	-0.189731778365977	-0.0478736494460679	-0.225911620534207	0.608834088634284
NK cells (MCA)	0.0581025052405295	-0.211476447775979	-0.242535203777392	-0.109260606869307	0.130415691853778	0.127825462272246	0.0484122765692293	0.204504291013211
B cells (MCA)	0.315162896223554	0.0934700781338553	-0.41531195282445	-0.0532283469837627	-0.181435178645645	-0.266855956832894	0.149629749543927	0.120455432539202
Plasma cells (MCA)	-0.307181285840903	-0.382816216498099	0.493129741967232	-0.29636634759824	-0.0212871859757222	-0.203556007103571	-0.316111923670997	-0.240219356397015
