celltype	PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
Progenitors (10X)	-0.0793885160576658	0.656983903469216	-0.0208619764959452	-0.356275134127022	-0.311275683259786	0.0520748788163055	0.113618122662276	0.0352894407789128
Granulocytopoietic cells (10X)	0.125216029917167	-0.352124235475698	0.247467217470197	-0.138384736468405	0.0941676221110131	0.002317705627783	-0.0250086919208256	-0.467427168659955
Neutrophils (10X)	-0.18480535270738	-0.412743639100494	0.566827567850454	0.33610429950771	0.327817919358141	0.235599365363793	-0.109003938595362	-0.272173738932415
Erythroids (10X)	0.0475068414439704	0.0789660371144796	-0.142048874474251	-0.0739186639652516	-0.225017581281696	-0.049463398378685	0.105647417452274	0.192038227295924
Monocytes (10X)	-0.219119268384887	-0.212208116491223	0.260406060322461	0.251187832517782	0.131692973663694	0.0625801330281208	-0.0575605771353832	0.0479198176485012
DC (10X)	0.265627913382453	-0.0041930282756695	-0.337178012943354	-0.154242443752252	0.0186868966407965	0.00722843101155254	-0.262715200652236	-0.0305237106299104
pDC (10X)	-0.10561811543537	-0.357671922395849	-0.12761081355586	0.199740410272032	0.0987995407619586	0.110450003135488	-0.254849868677205	0.169711654443052
Basophil (10X)	-0.0617653678954578	-0.0578628758608023	0.389087793522075	0.0358872652672722	0.160705826609979	0.0131037803895145	0.117884323913587	0.0225521745796081
T cells (10X)	0.031279838095757	0.371468423381148	-0.222350401428487	-0.22283796307137	-0.111136482143184	-0.0046892507201072	-0.148059614820575	0.502578159614446
B cells (10X)	0.40114943132844	0.364981637476065	-0.48833629246116	-0.245714018022165	-0.231065288733306	-0.307368510017855	0.020874422656448	-0.172285561617681
Plasma cells (10X)	-0.295725217167417	-0.122995772783238	0.259933859997969	0.14059703158636	-0.0109532901073273	-0.197903193678971	0.000377711692889082	0.148476214534625
