celltype	PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
Progenitors (SS2)	0.0777468041704184	0.485974933551035	-0.216547114103863	-0.313475671702261	-0.316558046869391	-0.0421384435344609	0.0240686543651071	0.0539139123626373
Granulocytopoietic cells (SS2)	0.225678817882796	-0.192377245408117	0.111166068321054	-0.139962846915611	0.0324198531589887	0.102073092826754	0.000531300338385748	-0.620672533149937
Neutrophils (SS2)	-0.145436774394887	-0.413557207503479	0.348744410085744	0.181929555855042	0.265640096096893	0.0762044879820075	-0.169855375273601	-0.332593132486739
Monocytes (SS2)	-0.184443243673931	-0.184405971472989	0.391974176720203	0.263827320673402	0.127074065308323	0.0453164493629651	-0.122663818364747	-0.245425669011838
DC (SS2)	0.0209957562724059	0.393835079745975	-0.26221187004561	0.0438911556648749	-0.0602487063547629	-0.143922783568128	0.0331438349866337	0.469191409687151
pDC (SS2)	0.0841870382820335	-0.373030851649466	-0.0822988155442209	-0.163419363252722	-0.00374032996288531	0.0281981411055043	-0.253566831777646	0.0958447423542306
Basophil (SS2)	-0.0578557477384395	-0.132390233935385	0.398143497331717	0.0715263713915175	0.217446263012631	0.148544951926208	0.136995239575515	-0.0793111511628416
T cells (SS2)	-0.10019190565134	0.166294965069757	-0.138205319287294	-0.143980002128488	-0.0843992053717216	0.0532437575354782	-0.154879854340371	0.283729596079901
NK cells (SS2)	0.00915375567370705	0.184903025721118	-0.353813509928975	0.0728316054776374	-0.00651558849117259	0.110318820964471	0.0482763935920014	-0.233824307997012
B cells (SS2)	0.277573549961297	-0.106349449987539	-0.472319762412736	-0.029980723082995	-0.134377227966365	-0.387016626274231	-0.0622797644285352	-0.0946294507625935
Plasma cells (SS2)	-0.340743898084321	0.21154461701049	0.392065845179083	0.0189173194607442	-0.131547352633992	-0.031061937251139	0.107828808368927	0.236009381449376
