celltype	HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Progenitors	0.0800624364341486	-0.0476798292084332	-0.308384376843621	-0.201769137921647	0.15063720849951	-0.0694071800092659
Granulocyte progenitor	-0.0246617913237826	0.20969444528462	0.204447484462463	0.282169979219272	-0.237770249337311	0.0866227573812639
Erythroids	0.168754701927145	0.485436352612523	-0.382113167774825	-0.0984780938860802	0.0549976151712907	-0.243366262381762
Monocytes	0.184445070151573	-0.0400728326418675	0.39465236641759	0.393326707868149	-0.396782042894669	-0.0801175605579859
DC	0.279175156628478	0.19163504392264	0.401231025639077	0.48612454682476	0.21741381897503	0.191807104957575
pDC	-0.143288380861066	-0.0870691398184395	0.126667183386001	0.291039459944354	-0.257817871798467	0.110964032776492
T cells	-0.189916561940348	-0.216864108604752	-0.201598361333761	-0.35560100895293	0.286557677440044	-0.353195120836162
CD8 T cells	-0.320932319694382	-0.19851507498755	-0.133414806699058	-0.334732207399601	0.119461593550734	-0.330961403356862
NK cells	-0.266572097829393	-0.234966987803248	-0.0248047544910819	-0.209953675552971	-0.258651769264928	-0.3316402316683
pre-PC	0.00393903866531894	-0.0149643245576428	-0.180347847312945	-0.160163906937146	0.256403938866576	0.0815037095003182
pro-B cells	-0.0399450744175254	0.258592607941386	-0.151098248921284	-0.149981822057054	0.299284379642695	0.45140247241559
pre-B cells	-0.112056117485032	-0.138949437959898	-0.22006595686782	-0.336448284496823	-0.0637912824291507	0.20162218880794
B cells	-0.0179504833690514	-0.324551836320619	-0.223648490472622	-0.331446756968632	0.131598700173718	0.0274368352958695
Plasma cells	0.199220436561591	-0.208650418990448	-0.151257657660617	-0.0147186780436094	-0.46610400038972	-0.0880292086986428
Platelet	0.485613322256941	0.0360283407828271	0.361896963337576	0.164714738179472	-0.0884100827632883	-0.100373908649325
