celltype	HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Granulocyte progenitor (hcl)	0.0733368339485573	0.154840762348704	-0.356650573772127	-0.301019069503864	-0.137337016487312	-0.103143023380017
Neutrophils (hcl)	0.16233712907321	-0.0152572974824475	0.184855056045881	-0.296662162491335	-0.557944432755999	0.0945136330543589
Erythroids (hcl)	0.172516294242145	0.519365306071395	-0.454285726443299	-0.340353164286082	-0.0258003628879574	-0.236759387562471
Monocytes (hcl)	0.0192120908358792	-0.208760359837436	0.359303267911333	0.352993543398437	-0.373061970768597	-0.189465853318701
Macrophage (hcl)	0.00332072263041522	-0.215868412317571	0.323973467943927	0.35390009048245	-0.0174857407268225	-0.0839257160623443
DC (hcl)	0.272898935043985	-0.0893415538951914	0.260485850322786	0.330358952836467	0.283874367874794	0.00545489307070821
pDC (hcl)	-0.117755152256585	-0.0502211208179085	0.0136797700321534	0.238022160251997	-0.0196806663998127	0.247034641052866
T cells (hcl)	-0.142379937910594	-0.120136863666147	-0.112731088110655	-0.313578741778685	0.438826744907048	0.0531916576178552
NK cells (hcl)	-0.312836307557167	-0.288951588951582	0.118749076644304	-0.0821512212277722	0.279248522583709	-0.071635854819929
B cells (hcl)	-0.0871681187901115	-0.0169072258997342	-0.0440357668589737	-0.00681118643904401	0.401076745857673	0.110586815136148
Plasma cell (hcl)	-0.166065020685045	-0.21948571068866	-0.157051762985233	-0.0819727539558818	-0.353827862927932	0.0548463690247661
