HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
ITGA2B	CA2	EPX	LYG2	DUSP2	IGLL5
CAVIN2	ALAS2	DSTN	CTSB	PLK3	CD37
PARVB	TSPO	SRGN	KRT18	RPS17	POU2AF1
PMP22	PRDX2	CPA1	ATP6V0C	DDB2	CD79A
APLN	FTH1	ADAM8	C1QC	MKNK2	TSPAN2
ZNF101	AQP1	SELENOW	C1QA	EEF2	SYK
MEIS1	DMTN	GAPDH	KRT8	EIF3F	ATP11A
MYL9	UROS	IL6R	MFAP4	SLC25A5	H2AFX
MYOCD	NT5DC4	NCCRP1	APLP2	EIF3I	GNG2
SUV39H1	SPTB	VAMP8	MOXD1	NAP1L1	NFKB2
PDLIM1	RFESD	COTL1	PSAP	PNO1	JMJD1C
TPTE2	HBZ	THY1	SLC2A6	GPR183	CAD
PALLD	IGFBP1	CLEC4E	MARCO	NPM1	PPDPF
ILK	RHD	ACTB	LGALS2	TNRC6C	ASCC1
TSPAN6	KLF1	SMS	ATP6V1E1	RNF44	SNRPF
GCNT4	KLF17	ABCB9	CTSC	TAGAP	SUMO2
BOK	EPOR	LTB4R	SFTPB	PNRC2	HERPUD1
TGM2	RGCC	ODC1	IRF8	NOP56	OLA1
GNG10	HSPA2	CORO1A	LGMN	EIF3CL	UBE2V2
FKBP1B	CPOX	S100A4	ATP6V1G1	CCT4	ADA
FSTL1	METAP2	MMP9	ASAH1	FRAT1	CCNI
SVIL	MTHFD2	PAPSS2	ANXA5	NCL	PLCG2
EXOC3L2	HMBS	IL16	HP	RANBP1	STAG2
ACSF2	PIGQ	PGP	MAFB	NOP58	ERH
SIAH1	ARL4A	NCF1	SCPEP1	MYB	RCC2
UHRF1	CREG1	PRKCD	TFEC	SERP1	FUBP1
FSCN1	H2AFV	ALOX5AP	SDCBP	NHP2	BAHCC1
MEF2A	CDC7	LCP1	CTSD	YWHAQ	
SEMA6B	EIF5	CEBPB	CTSA	PRKAR1A	
ATP2A3	PRDX3	CRIP1	CKB	CRY1	
B3GALT2	PRKAB1	XBP1	CFP		
FERMT3	XPO7	ADAM19	ATP6V1A		
GMFB	CCND1	LTA4H	SLC3A2		
