p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.01679001973724e-82	3.23063799694228	0.875	0.004	1.14593517630838e-77	HSCs	itga2b
6.04765071574368e-48	2.46584698671292	0.625	0.016	1.38140437649017e-43	HSCs	sdprb
1.63546577683477e-43	1.74254208130321	0.604	0.02	3.73573092744598e-39	HSCs	parvb
3.69756482653331e-42	2.23597379973372	0.646	0.077	8.44597757676739e-38	HSCs	pmp22b
1.60377383441435e-41	2.77519524165602	0.542	0.01	3.66334019256926e-37	HSCs	apln
4.56039316941282e-41	2.09620378926005	0.604	0.053	1.04168500775728e-36	HSCs	blf
4.73743643735668e-41	1.91384899837449	0.646	0.038	1.08212523102101e-36	HSCs	meis1b
2.93064133274547e-33	1.55548751956609	0.479	0.009	6.69417093225721e-29	HSCs	myl9b
3.29887483240729e-31	1.76784910475065	0.542	0.048	7.53528989218474e-27	HSCs	myocd
1.54089366446117e-29	1.84071884759516	0.479	0.056	3.5197093083622e-25	HSCs	suv39h1b
2.14319550132376e-27	2.11401165060926	0.625	0.132	4.89548716412373e-23	HSCs	pdlim1
9.49122029001944e-27	1.76365918267888	0.479	0.032	2.16798453864624e-22	HSCs	tpte
1.67659745177011e-25	1.62889830136326	0.396	0.014	3.82968389933329e-21	HSCs	palld
2.52426137089746e-24	1.61271428828961	0.688	0.219	5.76591782340399e-20	HSCs	ilk
3.25286321533679e-24	1.36499015302162	0.292	0.001	7.43019015647229e-20	HSCs	tspan7
3.37549363443662e-23	1.79908739698554	0.438	0.034	7.71030255978013e-19	HSCs	gcnt4a
5.34118858318333e-23	1.38144239572925	0.333	0.009	1.22003429617074e-18	HSCs	boka
1.38351228532803e-21	1.15707526491853	0.333	0.01	3.16021876214628e-17	HSCs	tgm2b
1.66854800052976e-21	1.44715610897094	0.354	0.013	3.81129734281008e-17	HSCs	gng10
1.02854279764033e-18	1.25997903173813	0.271	0.018	2.34939745837004e-14	HSCs	fkbp1b
1.28339833704524e-18	1.323715626702	0.312	0.01	2.93153848147874e-14	HSCs	fstl1b
8.42088871389367e-18	1.46801918904017	0.458	0.068	1.92349940002759e-13	HSCs	svila
5.39493367577615e-17	1.23012694686105	0.312	0.024	1.23231075022079e-12	HSCs	exoc3l2b
1.10098024574053e-15	1.20987142474907	0.271	0.012	2.51485907732051e-11	HSCs	acsf2
1.05693663723686e-12	1.27970633501479	0.292	0.044	2.41425466677645e-08	HSCs	siah1
3.05040314805794e-12	1.20861301862655	0.312	0.081	6.96773087079394e-08	HSCs	uhrf1
3.19123685545946e-12	1.12104770777185	0.271	0.016	7.2894232252405e-08	HSCs	fscn1a
1.5800277007988e-11	1.01125935726092	0.354	0.058	3.60909927416462e-07	HSCs	mef2aa
2.30967560567594e-11	0.938103875917251	0.271	0.022	5.27576101848499e-07	HSCs	sema6bb
3.24050718851808e-11	1.29614906696194	0.375	0.137	7.40196652001301e-07	HSCs	atp2a3
1.14770314058232e-10	1.0201730965998	0.271	0.067	2.62158351371813e-06	HSCs	b3galt2
1.40906097627902e-10	0.972124961591534	0.396	0.083	3.21857708201654e-06	HSCs	fermt3b
5.16432838028035e-10	0.913546677450034	0.271	0.102	1.17963588862364e-05	HSCs	gmfb
1.09393149606449e-09	1.02319835801811	0.396	0.184	2.49875832331052e-05	HSCs	ap1s1
1.12564283591997e-09	1.18896165334727	0.417	0.121	2.57119336580839e-05	HSCs	btk
2.25536154385151e-09	1.1095356511237	0.354	0.07	5.15169683846563e-05	HSCs	asap1b
6.8323305363684e-09	0.880600534684639	0.292	0.09	0.000156064094111727	HSCs	bmp2k
8.328010723508e-09	1.11847123338255	0.292	0.057	0.00019022842094637	HSCs	hacd3
1.27986879289625e-08	0.912805430278723	0.438	0.109	0.00029234762967336	HSCs	bcl2l10
3.43119410442356e-08	0.96227114750684	0.271	0.109	0.000783753357332429	HSCs	CAPN1
9.52162927611797e-08	0.91703009621458	0.333	0.343	0.00217493055925087	HSCs	csnk2b
3.45871541940532e-07	0.564661152338848	0.25	0.256	0.00790039776100564	HSCs	lgals3
3.60777074948696e-07	1.10985627377387	0.333	0.147	0.00824086994597812	HSCs	h2afy2
1.07010578169874e-06	0.807714906131051	0.25	0.293	0.0244433562655626	HSCs	rab2a
0	4.22272710817387	0.946	0.066	0	Erythroid	cahz
0	3.74955997738675	0.917	0.034	0	Erythroid	alas2
0	2.57628031693837	0.893	0.208	0	Erythroid	tspo
0	2.44124258600577	0.908	0.513	0	Erythroid	prdx2
0	2.24244102710809	0.983	0.614	0	Erythroid	fth1a
1.67522708821124e-311	1.78324719963728	0.652	0.011	3.82655371489212e-307	Erythroid	aqp1a.1
1.31774980302302e-275	1.63771278473528	0.599	0.011	3.01000410006519e-271	Erythroid	dmtn
3.5286528387311e-274	1.58887974837624	0.668	0.035	8.06014881422957e-270	Erythroid	uros
3.34127276273236e-245	2.31057339294879	0.571	0.017	7.63213524463326e-241	Erythroid	nt5c2l1
5.90601304885497e-242	1.39379047002576	0.528	0.008	1.34905150061945e-237	Erythroid	sptb
3.48221746187823e-239	1.74924256185974	0.521	0.009	7.95408112642224e-235	Erythroid	rfesd
4.05362747494227e-229	1.46555536313025	0.507	0.009	9.25929587826314e-225	Erythroid	HBZ
6.01278673906099e-220	2.04807482798894	0.596	0.054	1.37344074693631e-215	Erythroid	igfbp1a
2.68344063412514e-218	1.28290803149704	0.5	0.011	6.12951509646864e-214	Erythroid	rhd
6.55929874166872e-215	1.32366301559522	0.607	0.047	1.49827501857197e-210	Erythroid	klf1
1.37542501921961e-208	1.4073877696694	0.446	0.004	3.14174582890143e-204	Erythroid	klf17
2.12933606264131e-194	1.25326890202483	0.525	0.029	4.86382943428528e-190	Erythroid	epor
1.43877245591228e-193	1.47638657739179	0.531	0.031	3.28644404379483e-189	Erythroid	rgcc
6.05866649889761e-163	1.6851080851495	0.391	0.011	1.38392060167819e-158	Erythroid	hsc70
8.89218491764065e-150	1.4549851282022	0.503	0.091	2.03115287888748e-145	Erythroid	cpox
1.47480791245279e-140	1.13227577243397	0.776	0.32	3.36875623362467e-136	Erythroid	metap2b
3.5300729284178e-136	1.36877996778111	0.569	0.127	8.06339258309193e-132	Erythroid	mthfd2
1.65958216203319e-135	0.886600434430213	0.373	0.02	3.7908175745162e-131	Erythroid	hmbsb
1.22047696264425e-134	0.826369390184374	0.36	0.014	2.787813478072e-130	Erythroid	pigq
4.18330317421626e-128	0.943448419386331	0.32	0.008	9.55550111054479e-124	Erythroid	arl4ab
4.44559373126799e-128	1.33168004630344	0.596	0.132	1.01546252009623e-123	Erythroid	creg1
4.02110420839209e-124	1.38835803284884	0.566	0.178	9.18500623280922e-120	Erythroid	h2afva
4.39998561310221e-124	0.691467625575662	0.307	0.007	1.00504471374481e-119	Erythroid	cdc7
1.07037149603091e-121	1.14403880564664	0.757	0.354	2.4449425712338e-117	Erythroid	eif5
4.19997117753608e-121	1.05788968825354	0.589	0.206	9.59357416372791e-117	Erythroid	prdx3
3.77997507086242e-111	1.50044604284985	0.342	0.024	8.63421905686394e-107	Erythroid	prkab1a
2.94126751524999e-110	1.01656998236714	0.479	0.081	6.71844325833403e-106	Erythroid	xpo7
1.71553803341918e-109	1.10986820318755	0.503	0.115	3.91863197593609e-105	Erythroid	ccnd1
1.64683101196509e-106	0.935716959118184	0.269	0.007	3.76169139753065e-102	Erythroid	rbm24a
1.38302043910921e-101	0.951924231179333	0.526	0.144	3.15909528701325e-97	Erythroid	tmem14ca
5.17219046236647e-97	0.954014110313032	0.492	0.121	1.18143174541375e-92	Erythroid	slc11a2
1.59022219155816e-95	0.878659359565075	0.375	0.047	3.63238552995715e-91	Erythroid	ttll4
1.31564581360992e-94	0.905532303540521	0.327	0.036	3.00519816744778e-90	Erythroid	alad
1.66277348996664e-94	0.742430696185258	0.865	0.682	3.79810720578179e-90	Erythroid	vdac2
9.90873285522892e-88	0.757737151413904	0.439	0.09	2.26335275879139e-83	Erythroid	glrx5
5.1015185106008e-87	1.03554447361712	0.772	0.411	1.16528885819143e-82	Erythroid	hmgb2a
8.36920813925705e-87	0.860698176492713	0.307	0.029	1.9116945231691e-82	Erythroid	add2
1.23590162620258e-83	0.829016801302386	0.47	0.105	2.82304649457193e-79	Erythroid	fam210b
1.8716402744704e-80	0.777792946104471	0.406	0.078	4.27520071494529e-76	Erythroid	slc16a10
3.31049965195697e-78	1.04637594483526	0.802	0.471	7.56184330500012e-74	Erythroid	ccng1
3.82071300245925e-76	0.912726406771155	0.573	0.196	8.72727264021742e-72	Erythroid	ncoa4
2.34741772392031e-71	0.843642229059793	0.449	0.115	5.36197156497878e-67	Erythroid	spna2
9.15836012970306e-70	0.941220676525462	0.328	0.061	2.09195262082677e-65	Erythroid	impdh2
4.20958451290733e-69	0.923812434394934	0.393	0.104	9.61553294438291e-65	Erythroid	larp1b
9.595978608366e-68	0.858986906015919	0.398	0.102	2.19191343372296e-63	Erythroid	sgk2a
3.15066688476412e-66	0.885654968974151	0.512	0.193	7.19675329817821e-62	Erythroid	anp32b
4.54198089242673e-65	0.576353798104604	0.282	0.037	1.03747927544811e-60	Erythroid	ak3
2.93303816334664e-62	0.633403426909842	0.294	0.045	6.6996457727164e-58	Erythroid	herc1
8.85468540423161e-60	0.785078087172115	0.256	0.035	2.02258724003458e-55	Erythroid	cyb5r1
