celltype	HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Progenitors (MCA)	0.302765149781353	0.0373273182192012	-0.144889921351854	0.215589778322547	0.243660034788385	-0.216622303861491
Erythroids (MCA)	-0.164443413679014	0.488238267940897	-0.44536065556062	-0.136961082618906	0.166956954116155	-0.219907349244393
Monocytes (MCA)	0.263857493795047	-0.36434631036905	0.352985818530945	0.240762642214241	-0.33213955098328	-0.243765965217122
Macrophage (MCA)	0.221096656338372	0.0988294605271352	0.142186487876894	0.371251152482812	-0.385932827922894	0.0768381508100915
pDC (MCA)	-0.025491086238114	-0.126534230090761	0.0667623613798382	0.0282773033027067	-0.242973040918498	0.293993424718066
Basophil (MCA)	0.202749070909401	0.0715168684219988	0.233174334563665	0.0427899412334926	0.057365079994802	-0.216575260491967
T cells (MCA)	-0.196004043489151	-0.24770752589089	-0.150409060645728	-0.427040861896157	0.36080029845438	-0.138578697165229
NK cells (MCA)	-0.160887071186358	-0.15288791286542	0.121248042534076	-0.251578855216541	0.306101302210286	-0.194076927179402
B cells (MCA)	-0.144450340885339	0.0302179443381352	-0.246061088403263	-0.380344567318948	0.267897202903683	0.335534855906864
Plasma cells (MCA)	-0.256697847385124	-0.149907754850424	-0.109277739178636	-0.0601961403327423	-0.301371876869056	0.0960845536971122
