HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Itga2b	Car2	Lyzl1	Lyg2	Dusp2	Vpreb3
Parvb	Alas2	Lect2	Ctsb	Plk3	Cd37
Pmp22	Tspo	Epx	Grn	Rps17	Pou2af1
Apln	Prdx2	Srgn	Krt18	Ddb2	Cd79a
Zfp825	Fth1	Cpa1	Atp6v0c	Mknk2	Tspan2
Meis1	Tmod4	Selenow	C1qc	Eef2	Syk
Myl9	Aqp1	Il6ra	C1qa	Eif3f	Atp11a
Myocd	Dmtn	Nccrp1	Krt8	Slc25a5	H2afx
Suv39h1	Uros	Vamp8	Mfap4	Eif3i	Gng2
Pdlim1	Sptb	Cotl1	Aplp2	Nap1l1	Nfkb2
Tpte	Rfesd	Thy1	Moxd1	Pno1	Jmjd1c
Palld	Hba-x	Actb	Psap	Gpr183	Cad
Ilk	Igfbp1	Sms	Slc2a6	Npm1	Ppdpf
Tspan6	Rhd	Abcb9	Marco	Tnrc6c	Ascc1
Gcnt4	Klf1	Ltb4r1	Lgals2	Rnf44	Snrpf
Bok	Klf17	Odc1	Atp6v1e1	Tagap	Herpud1
Tgm2	Epor	Coro1a	Ctsc	Pnrc2	Ola1
Gng10	Rgcc	S100a4	Sftpb	Nop56	Ube2v2
Fkbp1b	Hspa2	Mmp9	Irf8	Eif3c	Atp5k
Fstl1	Sept3	Papss2	Lgmn	Cct4	Ada
Svil	Cpox	Il16	Atp6v1g1	Frat2	Ccni
Mtus1	Metap2	Pgp	Acod1	Ncl	Plcg2
Exoc3l2	Mthfd2	Ncf1	Asah1	Ranbp1	Stag2
Acsf2	Hmbs	Prkcd	Anxa5	Nop58	Erh
Siah1a	Pigq	Alox5ap	Hp	Myb	Rcc2
Uhrf1	Arl4a	Lcp1	Mafb	Serp1	Fubp1
Fscn1	Creg1	Cebpb	Scpep1	Nhp2	Bahcc1
Mef2a	H2afv	Crip1	Tfec	Prkar1a	
Sema6b	Cdc7	Xbp1	Sdcbp	Cry1	
Atp2a3	Eif5	Adam19	Ctsd		
B3galt2	Prdx3	Lta4h	Ctsa		
Fermt3	Prkab1	S1pr4	Ckb		
Gmfb	Xpo7	Sh3bgrl	Cfp		
Ap1s1	Ccnd1	Tpm3	Atp6v1a		
Btk	Rbm24	Capg	Slc3a2		
Asap1	Tmem14c	Hbegf	Dnase2a		
Bmp2k	Slc11a2	Pxk	Anxa3		
Hacd3	Ttll4	Arpc3	Mmp14		
Bcl2l10	Alad	Calm3	Marcksl1		
Capn1	Vdac2	Amd2	Myof		
Csnk2b	Glrx5	Rac2	Aif1l		
Lgals3	Hmgb2	Rnaset2b	Pepd		
H2afy2	Add2	Cystm1	Dram1		
Rab2a	Fam210b	Pnp	Fn1		
	Slc16a10	Srd5a2	Cndp2		
	Ccng1	Car6	Ctsk		
	Ncoa4	Arhgdib	Dpp7		
	Sptan1	Ostf1	Slc30a1		
	Impdh2	Hopx	Ctsh		
	Sgk2	Hpgd	Atp6v0e		
	Anp32b	Actr2	Prdx6		
	Ak3	Itgb2	Csf2rb		
	Herc1	Arpc2	Vdac3		
	Cyb5r1	Fam107b	Slc15a4		
	Sod1	Atg16l1	Fuca2		
	Thsd7a	Lasp1	Ctsz		
	Foxo3	Hyal3	Suclg1		
	Tacc3	Elovl1	Tbk1		
	Prkacb	Spice1	Cyba		
	Ell2	Hsd3b7	Dab2		
	Men1	Tpst1	Timd4		
	Herc2	Slc6a7	Rbm47		
	Cnot6l	Cnp	Slc43a2		
	Anp32a	Ppp1r14a	Cybb		
	Abcb10	Antxr2	Junb		
	Deptor	Rps6ka1	Card9		
	Cbfa2t3	Lrrc15	Rnasek		
	Dek	Plxnc1	Lipa		
	Sae1	Cdc42	Pikfyve		
	Ncapg	Lrrfip1	Cd81		
	Rrm2	Hspa8	Gm2a		
	Cox8b	Gnai1	Cst3		
	Prkar2a	Apol7b	Suclg2		
	Ogdh	Gsr	Cmklr1		
	Bloc1s6	Ssh3	Id1		
	Kdm6b	G6pdx	Mdh1		
	Mki67	Stk17b	Gnpda1		
	Mxi1	Spns3	Pgam1		
	Abcf1	Apmap	Hexb		
	Rrm1	Anpep	Eno1b		
	Eif4ebp3	Skap2	Eif4ebp1		
	Atp2b1	Glul	Atp6v1d		
	Ifrd1	Ube4b	Bhlhe40		
	Pcbp2	Vamp7	Litaf		
	Pim2	Larp6	Atp6ap2		
	Hars	Il34	Rab20		
	Tmem263	Rdh9	Echdc2		
	Selenoh	Reep5	Ifi30		
	Tmem11	Gpi1	Atp6v1c1		
	Tnrc6a	Atp1a3	Rnf213		
	Lbr	Atf3	Lyn		
	Rap2c	Sall1	Atp6v1h		
	Eif2s1	Map3k15	Plin3		
	Eif4b	B3gnt2	Xaf1		
	Ccdc124	Cr1l	Anxa4		
	Abce1	Mtpn	Tnip1		
	Hspa4	Clic1	Alas1		
	Hsp90aa1	Iqgap1	Nfe2l2		
	Smc3	Arg2	Tdh		
	Rap1a	Rgs2	Anxa2		
	Ap1b1	Mlx	Wdfy4		
	Mcm7	Gng5	Siglec1		
	Lmnb2	Eno3	Canx		
	Hnrnpdl	Klf2	Cox5b		
	Clta	Idh1	Lgals9		
	Ptges3	Rhoa	Atp6v0d1		
	Tma7	Efhd2	Mpp1		
	Rab5c	Tpm1	Parp8		
	Cbx5	Rnf144b	Eef1d		
	Psmb7	Cited4	Ptpn6		
	Txndc9	Rhog	Plscr2		
	Usp4	Serpine2	Itm2b		
	Aars	Gadd45a	Bsg		
	Meaf6	Sgk1	Jak1		
	Sub1	Pgm2	Snd1		
	Eif3j2	Arpc4	Man2b1		
	Cltc	Add3	Bri3		
	Hagh	Pim1	Npc2		
	Pin1	Prdx1	Sdr16c5		
	Ap2s1	Cyp4f18	M6pr		
	Akirin2	Slc9a3r1	Plec		
	Ddx39	Stx11	Entpd1		
	Ubqln4	Tmem30a	Selenop		
	Cwc15	Ddx5	Gabarap		
	Ndufs6	Higd1a	Clcn7		
	Psmc6	Rasgrp4	Ssr3		
	Elob	Lxn	Fosl2		
		Actr3	Calr3		
		Elf1	Serinc2		
		Hif1a	Glmp		
		Smox	Tmem189		
		Mid1ip1	Rassf2		
		Dennd2d	Sucla2		
		Ptpn22	Rab7		
		Napsa	Cyfip1		
		Dbi	Prss16		
		Mapk11	Hsd17b14		
		Socs3	Vmp1		
		Cd164	Cox6b2		
		Arhgap45	Atf4		
		Fdx1	Dad1		
		Alox12	Ppt1		
		Slc7a11	Lnpep		
		Arhgdia	Mdh2		
		Glipr1	Spcs2		
		Cnn2	Glrx		
		Dap	Dars		
		Slc20a1	Atp2b4		
		Hck	Rgs18		
		Myod1	Anxa1		
		Tmc6	Glud1		
		Unc13d	Dnase1l3		
		Spag1	Plekhf1		
		Tpt1	Ndrg1		
		Rab5b	Rab32		
		Ccdc88b	Atp5a1		
		Capzb	Ostm1		
		Cmtm7	Psme2		
		Pik3cb	Arrdc2		
		Ywhab	Atp5g1		
		Plekho1	Ncf2		
		Pdhb	Ppib		
		Shc2	Idh2		
		Pycr1	Atp5b		
		Akap13	Ppargc1b		
		Cd82	Rhbdf1		
		Ccdc28a	Ldhb		
		Dusp1	Cox7b		
		Hk1	Lamtor5		
		Mapt	Abhd12		
		Stat1	Vcp		
		Eif4ebp2	Ccng2		
		Gnb1	Ndufa10		
		Dock8	Eml3		
		Fmnl1	Sec61a1		
		Tpi1	Atp1b1		
		Scamp2	Pstpip2		
		Slc38a5	Aco2		
		Prelid3b	Pdcd6ip		
		Cyb5a	Vma21		
		Adam10	Atp5c1		
		Gmds	Rap2b		
		Epn2	Sqstm1		
		Sptssa	Mef2c		
		Cmip	Laptm4a		
		Rasgrp2	Rab22a		
		Parvg	Flnb		
		Selp	Naga		
		Sephs2	Pten		
		Rab1a	Midn		
		Degs1	Cox4i1		
		Sowahd	Arl6ip1		
		Sec61g	Gm10053		
		Ifngr1	Abca1		
		Glod5	Hsp90b1		
		Arrb2	Tram1		
		Aldh9a1	Psmb2		
		Cdc42se1	Rpn1		
		Rcsd1	Ssr2		
		Cmpk1	Ndufb3		
		Sh3gl3	Stk10		
		Arf1	Rab5a		
		Lamtor4	Ostc		
		Tnfrsf1a	Tmem131		
		Rps6kb1	Atp5d		
		Top1	Cox6c		
		Asns	Aqr		
		Ndrg3	Ssr4		
		Dynlt3	Hdlbp		
		Fkbp5	Ybx1		
		Cdk2ap2	Tnmd		
		Fam49b	Nck1		
		Wasf2	Aimp2		
		Serf1	Ndufs8		
		Romo1	Smim15		
		Hcls1	Atl3		
		Fryl	Hspd1		
		Tollip	Pfkp		
		Azin1	Atp5g3		
		Ywhaz	Uqcrfs1		
		Tmx1	Fkbp2		
		Ube2d1	Wsb1		
		Arf6	Sdha		
		Txnrd3	Atp5o		
		Crlf3	Tmem258		
		Il10ra	Serinc1		
		Eif4g2	Ctnnb1		
		Tacc1	Aimp1		
		Farsa	Selenok		
		Bin2	Kars		
		Ier2	Ndufc2		
		Ap1s2	Edem1		
		Ets2	Ginm1		
		Oaz1	Ist1		
		Tm9sf2	Rab11a		
		Mtdh	Hspa9		
		Cib1	Wdfy1		
		Mllt10	Hnrnpa0		
		Fam162a	Klf6		
		Chmp1b	Cox5a		
		Mob3a	Tomm7		
		Rab21	Mbd2		
		Cyth1	Naxd		
		Selenot	Mpc2		
		Rbm4	Commd7		
		Ipo7	Slc25a3		
		Dbnl	Prkaa1		
		Xiap	Selenof		
		Ubb	Ddost		
		Mbnl3	Hspe1		
		Sept7	Npepl1		
		Cox7a2	Tmed10		
		Lrp10	Ttc39c		
		Dynlrb1	Atpif1		
		Cep350	Ndufs2		
		Tmed7	Uqcr10		
		Copz1	Cyc1		
		Mien1	Prpsap2		
		Sf3b3	Dlst		
		Nek7	Cirbp		
		G3bp1	Sdhb		
		Crkl	Snx1		
		Fam120c	Ndufa9		
		Hif3a	Gng12		
		Ube2l3	Mpc1		
		Notch2	Phb		
		Snx12	Atp5f1		
		Ndfip2	Tbce		
		Ppp6r3	Arf2		
		Rock1	Mapkapk2		
		Cct5	Eif5b		
		Brd2	Uqcrc1		
			Hspa5		
			Uqcrc2		
			Slc6a9		
			Uba1		
			Syncrip		
			Psma1		
			Cox7c		
			Snrpb		
			Atp5j		
			Lypla2		
			Ndufv1		
			Kdelr2		
			Atp5h		
			Prkcsh		
			Spag7		
			Vps35		
			Araf		
			Ilf2		
			Psmb1		
			Skp1a		
			Pdia6		
			Taf15		
			Psma4		
			Acss2		
			Prdx4		
			Map1lc3b		
			Psma8		
			Adipor2		
			Gm14539		
			Irf1		
			Kmt2b		
			Kctd5		
			Gpx4		
