celltype	HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Progenitors (10X)	0.16975946137977	-0.052648479237561	-0.358134530080076	-0.023869342601459	0.341964230728986	-0.157884982022561
Granulocytopoietic cells (10X)	0.415562026569404	-0.000535693663280545	0.262811529117747	-0.111228482075372	-0.460768673781787	-0.0810887957127188
Neutrophils (10X)	0.434436784066268	-0.282649408925634	0.413210246722722	0.0498881098851918	-0.587297709480762	-0.10129192889176
Erythroids (10X)	-0.0089054290444846	0.416557348373268	-0.333844206042274	-0.157136222739033	-0.436131472223457	-0.325910061605566
Monocytes (10X)	0.193473111541398	0.056014565780354	0.244002986618453	0.412846291791965	0.0295523390400994	-0.175356075015428
DC (10X)	-0.0538029761098692	0.14287593670464	0.0592172195261562	0.152201764234218	0.302783091296892	0.179538797373994
pDC (10X)	-0.293590473343218	-0.33519649674888	-0.0479724174565115	0.0199200779350957	-0.193357909078291	0.0797099384823099
Basophil (10X)	0.159599440596238	0.0424207938035136	0.226356929046905	0.0376859021929832	0.246037902085886	-0.150286281995501
T cells (10X)	-0.425279914009738	-0.284022485047222	-0.165697642928427	-0.354543166890072	0.476310656761914	-0.321285837277219
B cells (10X)	-0.284972883424153	0.219833660141277	-0.325787658515939	-0.359181191246983	0.33731929467523	0.382627272721568
Plasma cells (10X)	-0.333452440432114	-0.126300582344521	-0.20013891619957	0.218620458383669	-0.270419323472204	0.14588609543792
