celltype	HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
Progenitors (SS2)	0.0555166911688228	0.0436164455172845	-0.46424412791172	-0.227497523724114	0.133938755401287	-0.3168437948245
Granulocytopoietic cells (SS2)	0.352347509821195	0.0757651636490269	0.181021539881519	-0.117461333852882	-0.447276147748427	-0.139831352147691
Neutrophils (SS2)	0.328047071762547	-0.376043360022595	0.322623363277873	-0.124139495219112	-0.5190099489893	-0.174316963869918
Monocytes (SS2)	0.280891887531593	0.0264297732648433	0.242346816561505	0.400582311670582	-0.332756878702553	-0.200446560185945
DC (SS2)	-0.105271070200174	0.307320395569083	0.0349448604910243	0.219937145592454	0.178372334658028	0.0529900917884706
pDC (SS2)	-0.285523028340248	-0.291162979722448	-0.202428488152966	-0.133572482580945	-0.285331932441652	0.165058755680905
Basophil (SS2)	0.0912205627674788	-0.0465589172453183	0.287911678883627	0.0456363455333324	-0.0393638060320891	-0.0911553791049936
T cells (SS2)	-0.1371545486711	-0.28550596859535	-0.0696320825666782	-0.370689363122857	0.422241532036122	-0.166172412654959
NK cells (SS2)	0.0831351560164842	0.0868792899641938	0.00563521756260385	-0.0980650525148908	0.209224904608314	-0.108434652366906
B cells (SS2)	-0.312143478231027	-0.126305915328788	-0.26809949413226	-0.376186920794338	0.349315555355987	0.300047713930212
Plasma cells (SS2)	-0.163678570292904	0.0750500807995446	-0.250461913677036	0.248666266094036	0.0152313463511205	0.138391402199898
