celltype	Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
Progenitors	0.125461960850678	0.221775397702716	-0.530488949203896	0.135158945518112	0.159800546456267	-0.29611771214798	0.523707379815416	-0.41591536915597	-0.474114597118164	-0.432554279877687	0.421987088653729	-0.129586239947805	-0.35173171639215	-0.242990630689584	-0.347964635261653	-0.390213684390912	-0.0758707385704357	0.109270750443188	-0.448909637644507	-0.0841733005977984	-0.319330054198031	0.354049244304519	-0.243553057154169	-0.479416371504528	-0.346451248380347	0.0335308756068416	-0.0757209643418058	-0.0839363824853137	-0.515254148215722	-0.0783362343223848	-0.405884218098936	-0.226902255353807
Granulocyte progenitor	0.482248574883317	0.282897967144692	0.331706442829723	0.155910740862981	0.148502751336804	0.282651716153217	-0.293317798865113	0.145568944863851	-0.450179207681367	0.22349512126875	0.193276922518076	0.417350141062607	0.411483572903817	-0.0989610921277304	0.307772622760328	0.0587078146001036	-0.0533281937209461	0.254559527120127	-0.383559483293229	-0.0412964547672378	0.0378943672583344	-0.0404460135593257	0.420776513090271	0.267599647442679	0.103411628880627	0.069465995201165	-0.0823663052664265	0.010324388864497	-0.396487424156035	0.0453644255183055	-0.20005465973406	0.012854519623976
Erythroids	0.169848336899705	0.65746426849089	-0.458255069793381	-0.0298591930495554	-0.168581654336601	0.252496072013942	0.113053174259919	-0.128046938491284	-0.375395970746652	-0.414600091505355	0.608633135269246	0.181856137345611	-0.365944766097462	0.470468209770831	-0.356634308077904	-0.355126672674757	-0.299261997124978	0.104799028233597	-0.413104776037646	0.264099259918193	-0.114880318131356	0.442598927963141	0.217677426160586	-0.499956677265336	-0.249368349840535	-0.0164337747173035	-0.338709652101042	0.173933283085658	-0.438248614622958	-0.174683017295714	-0.302341872762164	0.123778748645647
Monocytes	0.232472146684377	-0.288274811212991	0.664961595816671	0.664221865737307	0.409307916607208	0.264849497678356	-0.512721621309398	0.176271796565093	-0.0865691505731747	0.00213114728089131	-0.452627013952069	0.175915520058039	0.58878503469086	0.0407701986051076	0.546840436292665	0.278476630931804	0.20498842450625	0.330321040147588	-0.059692103744865	-0.406213051456132	0.0295639970995831	-0.410818622005165	-0.0157502224438517	0.565275477455727	0.436692387247039	0.0122022889335718	0.0793731866540366	0.315086979602896	-0.0140722431242419	0.195139188261902	-0.118646629186194	0.174127336635664
DC	0.544268080164124	0.37731977569817	0.641551243158935	0.546844296433339	0.427314223489979	0.395772018861188	-0.188716583364618	0.290862514884015	0.0482554062161615	0.119862164552325	0.200697683690363	0.281103222381045	0.438776057042137	-0.0619762066208243	0.531223650570752	0.45473444630692	0.0368995858537128	0.380733431404706	-0.341472788518994	-0.0241331378754741	-0.00854365488325882	-0.0391043472500723	0.0945266529638725	0.298567959219958	0.459372533103354	0.313658787403886	-0.0767041659366932	0.0412579023904808	-0.412103510725414	0.133959078272172	-0.242561916711442	0.00514035879325271
pDC	0.329243062586463	0.128422159854462	0.373268152473065	-0.221675485935739	0.60650629460249	-0.0946633394868478	-0.174380462012192	-0.231048193626667	0.112014774627507	0.515612142254789	0.0710233480137832	0.16578077192784	-0.133731791194601	-0.137699954903497	0.162481288256906	0.34201914679533	0.326115284734022	-0.0733557096498961	-0.246320437822615	0.134836611737978	0.373254547751881	0.0588518188909563	0.0609355305707394	-0.0354831710765771	0.167939784556117	0.0293101205837299	0.333913717218477	-0.0620995304421265	-0.329446190883652	0.128886630371442	0.167009800156954	0.29945632787747
T cells	-0.452052408781792	-0.341889983001077	-0.26636586256141	-0.0892331310605913	-0.487445685193658	0.0346361660940722	0.747555501317001	0.309988509944738	-0.368514391666813	-0.460409257308081	-0.283543894319618	-0.42523777367615	-0.136674933657116	-0.265481065740345	-0.329715597146276	-0.371496537060901	-0.303605388154626	-0.0862590617292173	0.552103070406156	-0.392206637856149	-0.276987577110092	-0.30636420792155	-0.314713712728842	-0.28225321198637	-0.343717129242403	-0.188232257144453	-0.107122720213358	0.182407788031941	0.535946559166616	0.157848076494771	-0.35754172243752	-0.0264220622361098
CD8 T cells	-0.481497924724676	-0.370578200625428	-0.2687859811706	-0.0901829269544933	-0.388527926506012	0.249579266465883	0.627013615610213	0.628918477089563	-0.452761185963198	-0.497737379686267	-0.271317189096133	-0.326692852261282	-0.0762985356002558	-0.261930934395704	-0.336367053525731	-0.283045683479574	-0.222990034390432	-0.0833516586250201	0.639168679208178	-0.329092052489984	-0.11258799461207	-0.270177248331925	-0.279890667165527	-0.121070109700476	-0.325291046840963	-0.119442079775438	-0.182791860564303	0.198217624593131	0.566619715667745	0.291430545915002	-0.16818140607861	0.0227498274641263
NK cells	-0.161573126479013	-0.274233817094531	-0.185954988019639	-0.39458013117335	-0.0797186705787395	0.0591949371914193	-0.554223853644348	0.749409445220542	-0.528166167664321	-0.261198277854271	-0.165671365256325	-0.170659797512653	-0.00584597772606638	-0.0526061568244886	-0.154967652748442	-0.110676436236791	-0.0388710949677004	-0.0937342411016703	0.517550921443978	-0.188509145664735	0.133631919665114	-0.0135907029775712	-0.203521210608965	0.159599245981083	-0.0314681256629882	-0.279055687120128	-0.142947776717627	-0.062001035380527	0.43808705464982	0.490917276731559	0.220088677606075	-0.242469982362453
pre-PC	-0.185511207839891	-0.0659158313741306	-0.523246223676349	-0.197193041474455	-0.294033118261663	-0.0744637134537519	-0.0207246881235715	-0.518751411779709	0.328270960963456	0.101440567889107	-0.116595941576878	-0.194866224686163	-0.306318114544084	0.0439271780539567	-0.13758016705283	-0.155971141086663	0.121198238146314	-0.176046161745937	-0.0890065405046535	0.372247110960151	-0.107359617961664	0.186453213118811	-0.0868719046636736	-0.0491977143547411	-0.0546735933692409	-0.164916606201041	0.0239853346958652	-0.0868272951151066	0.0458322891970711	-0.425243995529962	0.402711050396216	-0.336939600875181
