celltype	Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
Granulocyte progenitor (hcl)	0.221594022444987	0.213276261612642	-0.567970766561797	-0.131627757139778	-0.371376619639663	0.0313400612210225	0.501860831624363	-0.455144654104984	-0.422918945227385	0.0902676588015381	0.334986532559825	0.0463406723901739	-0.340496702060932	-0.275952392978317	-0.381058356109651	-0.210122477462059	-0.232189465267391	0.0716718402360194	-0.461607722886516	-0.118693052836812	-0.189822731143322	0.0920676138604229	0.234229746903425	-0.370145481341277	-0.408204952684266	-0.133556436062351	-0.0683676672435548	0.31057107565245	-0.466419740061315	-0.238120708603104	-0.383464260275782	0.258768754865758
Neutrophils (hcl)	-0.323666200418073	-0.480961439143907	-0.116659710547231	0.166261619777431	-0.0812085366319444	0.147600511014033	-0.57983755440455	-0.200762972643542	-0.540182808379241	-0.332568092651608	-0.534049691341567	0.272166671435461	0.467084331514744	0.0731683594898381	-0.137277342116991	0.209196667701664	0.0462862999146979	-0.00284851670385255	-0.253456504448822	-0.25400024264576	-0.293651955676737	-0.415642235548024	0.483647052204535	0.475493388229394	-0.161546942519003	-0.196291066084982	0.157977868239569	0.296615817730212	-0.390355257738306	-0.24182864143113	-0.0110310631046863	0.117708296654832
Erythroids (hcl)	-0.206465681830151	0.657327153549997	-0.624523807720749	-0.293953629872558	-0.321246711927681	-0.093351485599094	0.0869930336996835	-0.388143599703586	-0.354734640325572	-0.592367686355937	0.452308697859313	0.104735942217736	-0.440452991172302	0.508615729859462	-0.485720906683534	-0.344941205663851	-0.386833111415005	-0.273333126633223	-0.48716835552689	0.172271352305732	-0.33853714738801	0.271321696279825	0.290601060783221	-0.442080603264944	-0.420430867941588	-0.0437182563038847	-0.22381057234251	0.077411052008849	-0.485415877569131	-0.28920547722532	-0.318521884308291	0.021179748061924
Monocytes (hcl)	0.0200201351441291	-0.48041953569634	0.629599716559965	0.486454332922475	-0.0691146128097819	0.0469382924746943	-0.683424060890305	0.0316622329015278	-0.22911745098083	-0.238345452690698	-0.470777602110803	-0.135836519316119	0.482149343777448	-0.129617118673746	0.502117180724274	0.193860366532581	0.250889140050797	0.342766957677668	0.0486897600866174	-0.335805349757146	-0.124096600688738	-0.317481833321055	-0.247067626075243	0.477287944498679	0.494056032162314	-0.012919767139175	0.0904092336443387	0.183865583874428	0.260629881518413	0.213274662673878	0.0472675471765215	-0.380298961556638
Macrophage (hcl)	0.0196680528150034	-0.253511828145967	0.608843246778206	0.527820775457092	0.105922487167419	-0.0200936005645406	-0.675966558296449	0.249090339504362	0.349008631957484	-0.39966859987434	-0.205230012203889	-0.0874416248775537	0.302225147459583	-0.0964161949574702	0.456665896070104	0.167010339546983	0.173617578718448	0.238226060036376	0.0203672869680549	-0.185914002396546	-0.02912598591276	-0.14640965775373	-0.236357702913085	0.252963685065975	0.389055943280961	0.253740838557482	0.0259828251997939	-0.00666690137004095	0.021639201613204	0.189172422096812	-0.00280572638763191	-0.132989434889839
DC (hcl)	0.33238158651047	-0.0792353815067758	0.493906341190391	0.41931494477519	0.27332821346895	-0.234087514587974	0.335132123893104	0.181117177314004	0.412890568779801	-0.422086228135109	0.0254332767260422	-0.160693448438414	0.216151998583879	-0.205238099329786	0.361985915375349	0.360673451957052	-0.0914826828835747	0.222633049392794	-0.16308578159717	-0.162637424006665	-0.256230694282898	-0.0125365286648667	-0.292340381393694	0.0443160519987661	0.27606618154216	0.399582022800685	-0.136750794274307	0.151026330034774	-0.115010964250197	0.276886585733769	-0.188095248847457	-0.37909900996971
pDC (hcl)	0.23989339615309	0.12330515840645	0.150629833859695	-0.279427071638423	0.495822787569235	-0.0421576780171135	-0.142453229172541	-0.0629094034409642	0.323770325820405	0.43046559196903	0.148551612350423	0.0392982278388454	-0.309326678401982	0.0130382789325208	0.10544077138515	0.11842579928609	0.239664188935728	-0.048956731722749	-0.114600009455614	0.13627110687319	0.102160113236902	0.0795727430374454	-0.140605613955605	-0.347120911238463	0.0648457235539964	0.0835083105623891	0.123999612635609	-0.168864111448156	-0.0812163187482885	0.0776985352654055	0.0622460325578989	0.240330302623537
T cells (hcl)	-0.131024090797943	0.121520247108256	-0.395472557416847	-0.239610485391166	-0.383468198167471	-0.142529018022422	0.743777377110368	0.471279853946781	-0.0352768773435497	-0.440555610066235	0.0282381617596456	-0.231017262374309	-0.301287710348365	-0.260858162199918	-0.28958816166799	-0.295748580853653	-0.215888362118954	-0.108641477002367	0.624865868229853	0.23365060303716	-0.213964151930802	0.108821531600244	-0.208279187698106	-0.2571301275517	-0.248180690008319	0.023192433293967	-0.132416117392998	-0.168016398556795	0.535000285547791	0.308228913108771	0.128210548222666	-0.244935664632892
NK cells (hcl)	-0.157494683449348	-0.186483072365877	-0.111633057258985	-0.275893586338245	0.0563423202077463	0.361048572575948	-0.263081326208451	0.788570812756976	0.096956636854583	0.0472862512980426	-0.0191662046030354	-0.141235500284903	-0.0707721882197676	-0.132434906663638	-0.0334630576866267	-0.23815684878252	0.0790086550348822	-0.0521985329786736	0.634010174474844	0.153142555090271	0.117474008823371	0.109197737654673	-0.337505964522321	-0.101722660524757	-0.04655185464526	-0.189783433048252	-0.144103390137717	-0.244442285546565	0.459226022603546	0.568026423067257	0.300046565142506	-0.293337190329523
B cells (hcl)	-0.245053739091854	-0.133235350013809	0.090892372788084	-0.0318811373194961	0.0111865145988211	-0.137635820364375	0.455028227507752	-0.0237446390523956	0.619950992016363	0.177404427574186	0.0384891005829453	-0.274533167025293	-0.120627228147971	-0.0428470433300752	-0.0636998377777491	-0.111536712004979	0.0977204565748981	-0.235132315219395	0.310046959361034	0.264180448297354	0.0925396526619691	0.0291175999204208	-0.254651997691649	-0.0806679849747954	-0.0594135389358738	0.197286140659273	0.0644389192372819	-0.208610293789123	0.161655253645942	0.0388689396398792	0.24696486980154	-0.125367756479375
