Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
ELANE	CA2	IFITM3	C1QC	COX6A2	FCER1A	CD8B	GZMA	VPREB3	DERL3	MPO	HMGN2	MMP8	CA2	F13A1	FCGRT	CTSV	FCER1A	CCL5	VPREB3	JCHAIN	CD34	MS4A3	MMP9	FN1	RAB7B	COX6A2	MS4A2	CD3E	GZMA	VPREB3	JCHAIN
MPO	CA1	S100A4	FCN2	BST2	CPA3	CD3D	CCL5	CD79A	TNFRSF17	PRTN3	FCN1	MMP9	ALAS2	FN1	BATF3	LAIR1	CPA3	CD3D	LRMP	SPCS1	MPL	GPC1	MMP8	F13A1	BATF3	CD300C	CYP11A1	CD3G	NCR1	EBF1	DERL3
PRTN3	HBA2	CTSS	C1QB	CTSV	CCL3	THY1	NCR1	IGHD	CCR10	ETFB	C17orf50	C15orf48	GYPA	IFITM3	SNX21	SMIM5	GATA2	THY1	TCF3	EDEM1	RAB38	C17orf50	FPR1	CSF1R	SNX22	KLK1	FCER1A	CD3D	KLRB1	CD19	PRG2
PRSS57	BLVRB	LGALS3	C1QA	KLK1	MS4A2	CD3G	KLRD1	CD79B	TXNDC5	CD34	C4orf3	S100A11	SNCA	TGFBI	PMAIP1	CCR9	CSRP3	CD3G	ELOF1	SEL1L	MUC13	PROM1	SLFN12L	LRP1	TSPAN33	CCR9	ALOX15	BCL11B	KLRC2	CD79A	TNFRSF17
SERPINB1	CTSE	CST3	VCAM1	CD7	IER3	RPL12	KLRK1	CD19	EAF2	KCNK12	NCAM1	FPR2	PRDX2	CTSC	ITGAX	CD300C	CYP11A1	LCK	CD19	DERL3	ADGRL4	OLR1	ADAM8	MSR1	TLR3	LIFR	CSRP3	CD6	ADAMTS14	MS4A1	CDH23
TUBA4A	AQP1	ANOS1	CD5L	TSC22D1	CCL4	RPS29	ID2	MS4A1	EDEM1	NME4	PTGS1	OSTF1	SLC4A1	SMPDL3A	ALCAM	PACSIN1	ALOX15	GIMAP4	SMARCA4	PRG2	ANGPT1	C11orf24	FPR2	CX3CR1	GCSAM	RUNX2	CPA3	CD5	TIGIT	FCMR	FKBP11
HMGN2	PRDX2	GNGT2	HMOX1	TCF4	GATA2	TPT1	PRF1	EBF1	CRELD2	TSPAN4	RNASEH2C	MXD1	HMBS	LAMP1	CTNNA1	KLK1	MS4A2	CTSW	TIFA	CHST1	MEIS1	DRAM1	SLPI	MNDA	SHTN1	PLTP	GPR34	CXCR6	GZMB	CECR2	SEL1L
CMTM7	HMBS	CSF1R	IGF1	RNASE6	IFITM1	RPL36	KLRG1	SIGLEC10	HM13	ADGRL4	PROM1	C5AR1	HBB	CEBPB	AP1S3	PLTP	IL6	CD3E	AKAP12	CLPTM1L	POMGNT2	GPR84	MXD1	GALNT9	FFAR4	CTSV	IL6	CAMK4	ARL4D	CHST3	EAF2
FCN1	RHD	LST1	SLC40A1	PTMS	CSRP3	RPL39	CMA1	HLA-DRB5	EDEM2	RAB38	RAB28	PYGL	FECH	MCUB	VRK1	NUCB2	ITGA2B	GIMAP5	CD72	MAN1A1	SDSL	ARHGAP19	CD33	MS4A6A	SLC46A3	PACSIN1	IL4	THEMIS	TMEM37	AKAP12	CHST1
CLEC12A	KLF1	PLBD1	AXL	ATP1B1	HDC	LAT	IL2RB	FCRLA	FKBP11	BZW2	EBI3	DHRS7	BLVRB	FTL	GRK3	LEFTY1	CCL4	XCL1	EZH2	CACNA1S	TSPAN4	LARP1B	S100A11	CD302	SLAMF8	DDR1	HRH4	CD8A	S1PR5	MYL4	SPCS1
