p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.16151073909981	0.669	0.047	0	Progenitors (MCA)	Elane
0	3.40212457749547	0.68	0.052	0	Progenitors (MCA)	Mpo
0	3.13420033971089	0.762	0.052	0	Progenitors (MCA)	Prtn3
0	1.48367328111623	0.321	0.015	0	Progenitors (MCA)	Prss57
0	1.31949509622613	0.557	0.138	0	Progenitors (MCA)	Serpinb1a
0	1.2227928815395	0.642	0.181	0	Progenitors (MCA)	Tuba4a
0	1.14400721471542	0.673	0.2	0	Progenitors (MCA)	Hmgn2
0	1.00495205556386	0.765	0.297	0	Progenitors (MCA)	Cmtm7
1.11699819845105e-311	1.75677826988764	0.41	0.074	1.70431585119662e-307	Progenitors (MCA)	Fcnb
5.65071463005941e-310	1.17864037249119	0.382	0.059	8.62186038254464e-306	Progenitors (MCA)	Clec12a
9.34052380780222e-291	1.16386410171669	0.441	0.094	1.42517712259446e-286	Progenitors (MCA)	Lta4h
3.01718098146379e-286	1.07148766580714	0.312	0.038	4.60361474151745e-282	Progenitors (MCA)	Anxa3
3.60269409897295e-273	0.836227491712024	0.321	0.056	5.49699065621292e-269	Progenitors (MCA)	Igfbp4
1.72611965478502e-272	1.05996868822503	0.439	0.101	2.63371336927099e-268	Progenitors (MCA)	Etfb
1.87940120930528e-254	0.646653121647042	0.851	0.503	2.867590365158e-250	Progenitors (MCA)	Gapdh
2.76366130858433e-243	0.935377758643454	0.5	0.156	4.21679442463797e-239	Progenitors (MCA)	P4hb
7.39702220922513e-241	0.7902725130804	0.585	0.222	1.12863764868357e-236	Progenitors (MCA)	Dbi
7.39465659793545e-236	0.813580379599834	0.514	0.173	1.12827670371299e-231	Progenitors (MCA)	Gpi1
1.02818383223419e-213	0.778702316765634	0.513	0.185	1.56880289122293e-209	Progenitors (MCA)	Tkt
1.1365894624819e-213	0.623991001464848	0.701	0.348	1.73420820185489e-209	Progenitors (MCA)	Tspo
6.72232239262574e-199	0.788056017659744	0.444	0.149	1.02569195066684e-194	Progenitors (MCA)	H2afy
2.69338439196867e-197	0.745300858960154	0.388	0.116	4.1095659052658e-193	Progenitors (MCA)	Pdia6
5.71357922709294e-197	0.699717885316035	0.469	0.168	8.7177791846984e-193	Progenitors (MCA)	Selenoh
2.50368425435189e-193	0.273388555987612	0.91	0.624	3.82012143529012e-189	Progenitors (MCA)	Rps11
2.80569971177557e-188	0.624546183294592	0.589	0.268	4.28093662022717e-184	Progenitors (MCA)	Ybx1
3.56518452684147e-187	0.574101061408212	0.704	0.373	5.43975855105471e-183	Progenitors (MCA)	Cox5a
3.63818435328351e-181	0.581826752659852	0.581	0.268	5.55114168623997e-177	Progenitors (MCA)	Txn1
2.86177653751538e-175	0.594158504683251	0.39	0.137	4.36649864094097e-171	Progenitors (MCA)	Lamtor4
1.96797256237756e-174	0.62115739822121	0.675	0.354	3.00273253567568e-170	Progenitors (MCA)	Sec61b
4.29020947723047e-173	0.658546988785011	0.346	0.104	6.54600162035825e-169	Progenitors (MCA)	Gsto1
6.93752062353078e-172	0.719217611743262	0.411	0.141	1.05852689673833e-167	Progenitors (MCA)	Ssr2
2.4608959854103e-169	0.675185342767222	0.366	0.116	3.75483509453903e-165	Progenitors (MCA)	Tpi1
3.84255104133848e-169	1.02715298747656	0.295	0.066	5.86296437887425e-165	Progenitors (MCA)	Rgcc
6.24691526832522e-168	0.590508024222523	0.451	0.182	9.53154331641062e-164	Progenitors (MCA)	Aprt
6.93476740259371e-164	0.433487749012993	0.773	0.47	1.05810681028775e-159	Progenitors (MCA)	Ppia
2.02966291683919e-157	0.334129070381857	0.911	0.659	3.09685967851323e-153	Progenitors (MCA)	Rpl10
2.81643784930166e-157	0.510885915402501	0.303	0.1	4.29732087046447e-153	Progenitors (MCA)	Hexa
2.36770500459053e-146	0.615309835697508	0.316	0.1	3.61264429600423e-142	Progenitors (MCA)	Ddost
2.79223933057599e-138	0.62744766503359	0.253	0.067	4.26039877059284e-134	Progenitors (MCA)	Atp6ap2
7.0324920348524e-138	0.63436918513683	0.279	0.08	1.07301763467778e-133	Progenitors (MCA)	Stk16
2.15353330677546e-136	0.622429829486723	0.254	0.071	3.28586111947799e-132	Progenitors (MCA)	Ltb4r1
1.90298439620172e-135	0.566121452221533	0.33	0.125	2.90357359172458e-131	Progenitors (MCA)	Glipr1
4.20038465434417e-133	0.518707141379184	0.345	0.132	6.40894690559833e-129	Progenitors (MCA)	Rpn2
2.82638412410953e-132	0.38693801950065	0.399	0.186	4.31249689656632e-128	Progenitors (MCA)	Aldoa
1.11132415124196e-131	0.559889127145143	0.305	0.108	1.69565838996498e-127	Progenitors (MCA)	Ethe1
2.98920636085259e-131	0.548224340971569	0.476	0.225	4.56093106538888e-127	Progenitors (MCA)	Mif
1.93170687034785e-127	0.643975960074509	0.273	0.081	2.94739834277675e-123	Progenitors (MCA)	Dctpp1
2.80555794199896e-126	0.389025489495556	0.442	0.219	4.28072030790202e-122	Progenitors (MCA)	Eif4a1
1.56178109556596e-124	0.355923315527105	0.675	0.418	2.38296559561454e-120	Progenitors (MCA)	Hint1
4.88894046982824e-123	0.417802974671956	0.44	0.215	7.45954536886392e-119	Progenitors (MCA)	Psma6
