p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.26760108362796e-173	2.2389656979782	0.743	0.04	1.04487177665162e-168	PH 1	l(3)neo38
4.04347694657649e-160	1.91839273419745	0.699	0.004	6.74088041763767e-156	PH 1	ogre
3.67787407620987e-149	1.78184689174399	0.655	0.017	6.13138387244947e-145	PH 1	Inx2
8.33397414089481e-145	1.84450896470178	0.982	0.937	1.38935682902857e-140	PH 1	lncRNA:CR34335
8.28048402553873e-144	2.05338128197729	0.823	0.305	1.38043949189756e-139	PH 1	brat
1.50027283012456e-136	1.60343471409523	0.628	0.004	2.50110483510065e-132	PH 1	zld
6.36987196323643e-135	1.90980342649063	0.726	0.21	1.06192135499114e-130	PH 1	heph
3.56917112165148e-132	1.62195975480499	0.832	0.345	5.95016517690518e-128	PH 1	sbb
2.88326911525686e-130	2.1108367858809	0.85	0.626	4.80669794204471e-126	PH 1	hdc
1.02062193346658e-128	2.00958279418567	0.69	0.09	1.70147882528213e-124	PH 1	Tet
1.76792720022395e-125	1.93239747040799	0.708	0.18	2.94731143549335e-121	PH 1	Rbfox1
3.15268427452092e-123	1.90612716085943	0.991	0.912	5.25583995405383e-119	PH 1	lncRNA:CR40469
1.64968670080044e-119	2.49825477819903	0.912	0.249	2.75019269890441e-115	PH 1	fax
3.58400312056185e-119	2.3053277904022	0.549	0.056	5.97489160228867e-115	PH 1	elav
1.15320315834326e-113	2.09846470179597	0.575	0.006	1.92250498527405e-109	PH 1	lncRNA:noe
8.34971058396219e-108	2.46756429806856	0.425	0.001	1.39198025145234e-103	PH 1	nw
2.78102657834469e-106	1.48519004899205	0.496	0.002	4.63624940875843e-102	PH 1	Dl
8.1621822970449e-105	5.8454644675689	0.319	0.022	1.36071741074035e-100	PH 1	lncRNA:cherub
9.88777154816856e-104	1.92948484581331	0.699	0.13	1.64839039479518e-99	PH 1	chrb
2.96788320105972e-102	1.55298245889969	0.487	0.005	4.94775808448666e-98	PH 1	CG42342
3.07798766081812e-98	1.22783642351686	0.451	0.004	5.13131322934988e-94	PH 1	grh
8.10372985923374e-98	1.45512079734771	0.743	0.203	1.35097280483286e-93	PH 1	Cirl
3.18311242122247e-93	1.37198119199886	0.814	0.426	5.30656671741998e-89	PH 1	Dsp1
3.6412566971471e-89	1.71803627360946	0.398	0.001	6.07033903981393e-85	PH 1	bi
4.81346494460236e-88	1.26025678352167	0.938	0.967	8.0245274091466e-84	PH 1	Df31
7.34662453188124e-88	1.40104868542442	0.469	0.008	1.22475577570992e-83	PH 1	Fas2
7.52655059436597e-88	1.24058934371345	0.779	0.467	1.25475124958675e-83	PH 1	Ssdp
1.60180582346606e-87	1.3611662105967	0.54	0.017	2.67037048830028e-83	PH 1	rg
2.55005488738488e-86	1.39726834605954	0.398	0.002	4.25119650275933e-82	PH 1	ab
2.71326344009751e-86	1.42138296685274	0.646	0.193	4.52328148098656e-82	PH 1	Gug
9.60836694498638e-86	1.30181851242762	0.876	0.672	1.60181085339868e-81	PH 1	fs(1)h
2.84228249939869e-85	1.21456784750049	0.575	0.025	4.73836915474755e-81	PH 1	Inx3
9.50813552666413e-83	1.41826331362668	0.549	0.044	1.58510127365018e-78	PH 1	jigr1
3.13204500747539e-82	1.38649397278923	0.354	0.001	5.22143223196222e-78	PH 1	GstZ2
6.50660229955594e-82	1.30826587098032	0.85	0.682	1.08471566935897e-77	PH 1	lola
8.4051310850144e-82	1.43649825948455	0.823	0.338	1.40121940318275e-77	PH 1	mbl
2.61973749953422e-81	1.26788930895476	0.717	0.296	4.3673643854735e-77	PH 1	hts
4.98793455501089e-80	1.41123779564772	0.522	0.145	8.31538569665866e-76	PH 1	Fas3
4.8470968381234e-79	1.38251125992463	0.894	0.728	8.08059513883551e-75	PH 1	Unr
4.93410332610943e-79	0.96956679671327	0.398	0.003	8.22564365495702e-75	PH 1	ft
2.90599432008636e-77	1.12546997881909	0.398	0.005	4.84458313101598e-73	PH 1	nkd
3.75990072369517e-76	1.22146275186	0.611	0.165	6.26813049647222e-72	PH 1	CG9135
1.06205839402962e-75	1.24520099470115	0.885	0.709	1.77055754868679e-71	PH 1	spen
1.82394320023191e-74	1.29523565373266	0.717	0.333	3.04069570910661e-70	PH 1	gro
