celltype	Fish|HSCs	Fish|Erythroid	Fish|Neutrophil	Fish|Macrophage	Fish|B cell	Fish|NK/T cell
Fly|PH 1 (L)	0.944218758102639	0.988583854474197	0.538861450078061	0.409009530258944	0.837295790026111	0.843427583511972
Fly|PH (L)	0.611800259970571	0.757413800470631	0.289986186132059	0.461309362104945	0.556864209580385	0.564005837092146
Fly|PM (L)	0.564934743578764	0.275748185613468	0.562376129273542	0.39686086549857	0.346682746987183	0.335320612812737
Fly|PM 120 (L)	0.189673542659415	0.134789589327491	0.685290798202184	0.759169072008143	0.347281155171706	0.405392051518812
Fly|LM (L)	0.140496954812758	0.093625992771866	0.692437414254005	0.771932009826978	0.408248651149336	0.573772172241774
Fly|CC (L)	0.423535662956474	0.482809399353061	0.594901440816232	0.836287319371241	0.675929252919495	0.874826111097455
Fly|GST-rich (L)	0.224055125442805	0.210218381027129	0.276012013956961	0.649120214180222	0.654530763760292	0.66640205562555
Fly|Adipohemocyte (L)	0.271355233354582	0.0832243998837122	0.768197657942796	0.816225496594935	0.711316031336886	0.644061831363752
Fly|PH 1 (C)	0.960484451137892	0.98296795514409	0.573087243366907	0.463294748325577	0.84973289494133	0.828778187612327
Fly|PH (C)	0.488498431158872	0.849813905290993	0.304584928800012	0.453627710472626	0.575251483201009	0.611277279980935
Fly|PM (C)	0.482557925750331	0.525941796347425	0.637023967406511	0.388556809321335	0.474125957501205	0.378517283624317
Fly|PM 120 (C)	0.245210655473428	0.180968294935758	0.742504668623616	0.558910814527017	0.496418087673642	0.38724385851154
Fly|LM (C)	0.27348937049824	0.135200044087986	0.82248369351443	0.797167670553428	0.658488940911321	0.7660577353248
Fly|CC (C)	0.255882638679546	0.532086564613799	0.518624318232408	0.782739951326622	0.606123068625109	0.87809312953137
Fly|GST-rich (C)	0.218796433994336	0.279782018844214	0.268793097759915	0.614612361762699	0.658911929592913	0.723142728550222
