Study_ID|Celltype_1	Study_ID|Celltype_2	Mean_AUROC	 Match_type
Fly|PH 1	Human|pro-B cells	0.99	Reciprocal_top_hit
Fly|PH	Human|Erythroids	0.96	Reciprocal_top_hit
Human|Progenitors	Fly|PH 1	0.94	Above_threshold:0.75
Fly|Adipohemocyte	Human|Monocytes	0.93	Reciprocal_top_hit
Human|pre-PC	Fly|PH 1	0.92	Above_threshold:0.75
Human|Platelet	Fly|Adipohemocyte	0.9	Above_threshold:0.75
Fly|LM	Human|Macrophage	0.9	Reciprocal_top_hit
Human|Granulocyte progenitor	Fly|PH	0.89	Above_threshold:0.75
Human|DC	Fly|LM	0.86	Above_threshold:0.75
Fly|PM 120	Human|Monocytes	0.84	Above_threshold:0.75
Fly|GST-rich	Human|Erythroids	0.83	Above_threshold:0.75
Fly|CC	Human|Platelet	0.8	Above_threshold:0.75
Human|B cells	Fly|Adipohemocyte	0.76	Above_threshold:0.75
Human|pre-B cells	Fly|LM	0.75	Above_threshold:0.75
