Study_ID|Celltype_1	Study_ID|Celltype_2	Mean_AUROC	 Match_type
Mouse|DC	Fly|PH 1	0.89	Above_threshold:0.75
Mouse|B cells	Fly|PH 1	0.89	Above_threshold:0.75
Mouse|Erythroids	Fly|PH 1	0.89	Above_threshold:0.75
Fly|PH 1	Mouse|Granulocytopoietic cells	0.89	Reciprocal_top_hit
Fly|LM	Mouse|pDC	0.88	Reciprocal_top_hit
Fly|PH	Mouse|Progenitors	0.87	Reciprocal_top_hit
Fly|CC	Mouse|Macrophage	0.86	Reciprocal_top_hit
Fly|Adipohemocyte	Mouse|Monocytes	0.79	Reciprocal_top_hit
Fly|PM 120	Mouse|NK cells	0.78	Reciprocal_top_hit
Mouse|T cells	Fly|LM	0.77	Above_threshold:0.75
Mouse|Neutrophils	Fly|LM	0.77	Above_threshold:0.75
