celltype	Mouse|Progenitors	Mouse|Neutrophils	Mouse|Erythroids	Mouse|Monocytes	Mouse|Macrophage	Mouse|pDC	Mouse|Basophil	Mouse|T cells	Mouse|NK cells	Mouse|B cells	Mouse|Plasma cells	Mouse|Granulocytopoietic cells	Mouse|DC
Fly|PH 1 (L)	0.798973196803134	0.579324488133823	0.911208510637183	0.574772252471184	0.336900620376374	0.572448066487116	0.709049131785135	0.554012612882149	0.330598341886848	0.886368953348755	0.637208234453363	0.832250185263285	0.865786864392461
Fly|PH (L)	0.847247081278711	0.267842854559761	0.787916764405632	0.375102790424631	0.454574329884275	0.137545588488605	0.490246243205066	0.423393367805585	0.35305201657285	0.450474511057182	0.319239446300955	0.611121904367672	0.598753350493521
Fly|PM (L)	0.521393179109035	0.382406143293529	0.46434652787052	0.563829952413572	0.547437399691106	0.443545843087901	0.502116760851045	0.463549535572614	0.592839918261031	0.405792377904346	0.257458610586295	0.518593571474766	0.61663782636822
Fly|PM 120 (L)	0.425545442820346	0.616289104353433	0.137615354123326	0.752911948110992	0.689959437657459	0.67236858157181	0.607230785173766	0.741717302978728	0.794029434896434	0.497749593773399	0.701522839669354	0.208494019724154	0.45452269537252
Fly|LM (L)	0.402141109002386	0.588651203982632	0.190927915213147	0.775991904235354	0.619123620931836	0.817281046797106	0.395219673084276	0.720155198637521	0.643733208995994	0.374221856464601	0.675668863811706	0.200712802928052	0.525080754887367
Fly|CC (L)	0.716142068660939	0.383358634037636	0.312013517900524	0.642108320867215	0.923039104003808	0.766544897616806	0.660339652789746	0.807422778526217	0.823101247025004	0.521708650472338	0.538599240139166	0.13250495910459	0.605569315617777
Fly|GST-rich (L)	0.740885734513537	0.258471531714602	0.62216360971986	0.508340840691677	0.514344730392009	0.317686770574772	0.436624601997245	0.48973406024593	0.491656809640917	0.435009652996368	0.383740587109762	0.412330800742904	0.558820489410804
Fly|Adipohemocyte (L)	0.211801489657974	0.731579467670606	0.0706472214266116	0.798261385774047	0.63754591795229	0.780799328478222	0.64384528201393	0.704370861366284	0.649170091693855	0.670098274895415	0.723894339183841	0.297606256053146	0.410411378191763
Fly|PH 1 (C)	0.416965363426543	0.654248997435118	0.816731812515654	0.535180853453359	0.0711665307392329	0.830202360191822	0.695106317149935	0.502032112846063	0.413226759920501	0.877222635814063	0.718973094839157	0.870476226609718	0.860087414455952
Fly|PH (C)	0.793503298698344	0.340904189611604	0.799701935616601	0.446342427053449	0.486878757601122	0.242354351848405	0.527942383408389	0.509338718298664	0.405604573260964	0.520527999093123	0.381583402232147	0.634475184398495	0.606448794608952
Fly|PM (C)	0.324583620357965	0.539867607526994	0.449097517356454	0.573095156377081	0.503067545512373	0.619150619934371	0.662441104649823	0.538781949135033	0.615613112403609	0.70216689663567	0.351923915668824	0.67542628574977	0.657858748070716
Fly|PM 120 (C)	0.146574411787712	0.667849562339963	0.288242650372048	0.590382253377981	0.754494250450979	0.702608310871804	0.586389005794592	0.571132989896552	0.592970627606236	0.613027889126963	0.348922191669106	0.504219571535462	0.428993018332091
Fly|LM (C)	0.146940203903532	0.775744027524084	0.135158456879726	0.7564824501175	0.575802978066664	0.895553333802305	0.281338281286202	0.786791458544945	0.626917014672704	0.375756500657804	0.573024136317837	0.315758033541668	0.430544263138336
Fly|CC (C)	0.413216427325004	0.519699087170322	0.296173850384338	0.656387347855617	0.840753495868827	0.856842871974636	0.68856027392201	0.709563985602392	0.668574859018291	0.607803014959141	0.482957752749178	0.331421187088194	0.657402621230522
Fly|GST-rich (C)	0.685328069744478	0.3331918408327	0.605815493638538	0.513671049075214	0.588582906075435	0.407920362814464	0.467495591151088	0.591882038741184	0.495885028197355	0.500823874091549	0.372748636764927	0.385169062446435	0.543602727140218
