Study_ID|Celltype_1	Study_ID|Celltype_2	Mean_AUROC	 Match_type
Fish|Erythroid	Human|Erythroids	1	Reciprocal_top_hit
Fish|Macrophage	Human|Monocytes	0.99	Reciprocal_top_hit
Fish|B cell	Human|B cells	0.96	Reciprocal_top_hit
Human|pro-B cells	Fish|Erythroid	0.95	Above_threshold:0.8
Fish|NK/T cell	Human|CD8 T cells	0.95	Reciprocal_top_hit
Human|Macrophage	Fish|Macrophage	0.94	Above_threshold:0.8
Human|Granulocyte progenitor	Fish|Erythroid	0.92	Above_threshold:0.8
Human|DC	Fish|Macrophage	0.9	Above_threshold:0.8
Human|T cells	Fish|NK/T cell	0.89	Above_threshold:0.8
Fish|Neutrophil	Human|Neutrophils	0.89	Reciprocal_top_hit
Fish|HSCs	Human|Erythroids	0.89	Above_threshold:0.8
Human|Plasma cells	Fish|B cell	0.88	Above_threshold:0.8
Human|Progenitors	Fish|Erythroid	0.88	Above_threshold:0.8
Human|Platelet	Fish|HSCs	0.87	Above_threshold:0.8
Human|pre-B cells	Fish|B cell	0.87	Above_threshold:0.8
Human|NK cells	Fish|NK/T cell	0.87	Above_threshold:0.8
Human|pre-PC	Fish|HSCs	0.81	Above_threshold:0.8
