Study_ID|Celltype_1	Study_ID|Celltype_2	Mean_AUROC	 Match_type
Fish|Erythroid	Mouse|Erythroids	1	Reciprocal_top_hit
Fish|NK/T cell	Mouse|T cells	0.97	Reciprocal_top_hit
Fish|B cell	Mouse|B cells	0.97	Reciprocal_top_hit
Fish|Macrophage	Mouse|Monocytes	0.95	Reciprocal_top_hit
Fish|Neutrophil	Mouse|Neutrophils	0.92	Reciprocal_top_hit
Mouse|NK cells	Fish|NK/T cell	0.89	Above_threshold:0.8
Mouse|Granulocytopoietic cells	Fish|Neutrophil	0.86	Above_threshold:0.8
Mouse|Plasma cells	Fish|Macrophage	0.86	Above_threshold:0.8
Mouse|Progenitors	Fish|Erythroid	0.86	Above_threshold:0.8
Fish|HSCs	Mouse|Granulocytopoietic cells	0.84	Above_threshold:0.8
Mouse|pDC	Fish|Macrophage	0.82	Above_threshold:0.8
Mouse|Macrophage	Fish|Macrophage	0.82	Above_threshold:0.8
