celltype	Human|Progenitors	Human|Granulocyte progenitor	Human|Erythroids	Human|Monocytes	Human|DC	Human|pDC	Human|T cells	Human|CD8 T cells	Human|NK cells	Human|pre-PC	Human|pro-B cells	Human|pre-B cells	Human|B cells	Human|Plasma cells	Human|Platelet	Human|Neutrophils	Human|Macrophage
Mouse|Progenitors	0.737570858656578	0.919611332227288	0.9329706459881	0.568286064456139	0.664745407782069	0.615160229840476	0.310943916760388	0.245108132961883	0.211698049606011	0.513419608455807	0.651254602833826	0.365799774357154	0.239371592663374	0.674969762347535	0.170923096104556	0.734865428788187	0.578231817370882
Mouse|Erythroids	0.81655350105896	0.881814718862222	0.995858320114868	0.275856566015569	0.454111198672792	0.514456599201251	0.439383019377123	0.356958606829756	0.228224745642081	0.567187919843828	0.815109879414132	0.530362023870602	0.305057507488592	0.76252695149964	0.408069170321371	0.743630673494068	0.358395823378978
Mouse|Monocytes	0.244241226933569	0.502934847597916	0.278412070107027	0.941195949966196	0.844444296130879	0.541426536469382	0.207958875476122	0.164298150962055	0.364592740090081	0.234648602884242	0.233895422841272	0.292781679477315	0.36835642641598	0.382034491476744	0.434874572622308	0.722638923315384	0.907564631928088
Mouse|Macrophage	0.230423681067214	0.707656354911776	0.458351719404091	0.855152503897734	0.711469587535118	0.433930567992516	0.132790064614652	0.0870776640765493	0.217669969315623	0.138554569601883	0.177367034006593	0.154858839515248	0.243929856396368	0.572137420009548	0.295164876578104	0.935596777221596	0.882695019398543
Mouse|pDC	0.589166148690075	0.505661677268352	0.270102447935373	0.711294532916062	0.597081478000988	0.923998397623973	0.362153780250825	0.497998858854142	0.451300753438232	0.726422570031886	0.66617943400297	0.799765780462583	0.715430062605642	0.525823903715273	0.501928170253801	0.569131114705625	0.594448034491943
Mouse|Basophil	0.468212852702946	0.744853346388547	0.65701958067163	0.623044878238329	0.514915265456929	0.427072664471166	0.323110262429853	0.384297430477558	0.508793293847132	0.296842035161582	0.327868913047245	0.328399071072139	0.221023870342152	0.54439206498839	0.236639288876164	0.837974039736639	0.538123122389723
Mouse|T cells	0.222066578838976	0.0796368179033344	0.176109544479901	0.256293421390243	0.149236973502506	0.177800320125871	0.917416950385288	0.950143520616681	0.897871428053427	0.381352158766021	0.247816286441107	0.403455152191775	0.609670922591854	0.374067393588077	0.624680858527427	0.233846060966712	0.353573032170731
Mouse|NK cells	0.155402904851917	0.0858805268446741	0.159609272675368	0.341853322247275	0.226526008333597	0.303216603410953	0.803736541764065	0.879760918768314	0.985782068579464	0.283945045106306	0.219196541799866	0.350665015156911	0.550053755109175	0.421367362047778	0.559184528600274	0.240140422330121	0.455265880994743
Mouse|B cells	0.699750120105984	0.487010101357846	0.703928582875344	0.113513600077344	0.295540301619165	0.736098758162824	0.674161182741752	0.643467774207212	0.44544661983175	0.908247070282781	0.913824808088205	0.98428202441001	0.992839797169634	0.810538670383847	0.786041035567985	0.220319973180503	0.140991752291687
Mouse|Plasma cells	0.521543000274839	0.641396649428274	0.715255543440352	0.431995189892371	0.41445642249954	0.707327136982778	0.398391598502439	0.373865379616237	0.339436424903966	0.659946554862823	0.648138915505516	0.749267185994218	0.768503972811918	0.996303791361218	0.384389940763823	0.582672459158065	0.441955171219389
Mouse|Granulocytopoietic cells	0.642983242975924	0.837997653213674	0.792372279527154	0.736870046236369	0.648564400375583	0.534155353896145	0.226478672387699	0.263114041625277	0.195612689264833	0.530927144249513	0.702942292117509	0.471522304531579	0.241286999127844	0.324406605336659	0.382418751797527	0.946272555243928	0.635602340753501
Mouse|Neutrophils	0.14333378468516	0.499684567834106	0.0578375928684157	0.944414159380466	0.8030649671657	0.392770109593833	0.194367315845545	0.271516180431703	0.400512040304339	0.35198970658415	0.0920557749657729	0.439014117021425	0.297051798125866	0.221691830759657	0.665100209961964	0.995909391532069	0.847965620092133
Mouse|DC	0.721119823682327	0.554985962388909	0.723084444776811	0.752404834083423	0.775898934149719	0.863481726659032	0.376432068297022	0.43101116863059	0.391460016852216	0.66952611392755	0.785749349615005	0.709974888432137	0.610345758897826	0.369199331302261	0.439738917272437	0.262497840420748	0.671083053220659
