Study_ID|Celltype_1	Study_ID|Celltype_2	Mean_AUROC	 Match_type
Mouse|Neutrophils	Human|Neutrophils	1	Reciprocal_top_hit
Mouse|Plasma cells	Human|Plasma cells	1	Reciprocal_top_hit
Mouse|Erythroids	Human|Erythroids	1	Reciprocal_top_hit
Mouse|B cells	Human|B cells	0.99	Reciprocal_top_hit
Mouse|NK cells	Human|NK cells	0.99	Reciprocal_top_hit
Human|pre-B cells	Mouse|B cells	0.98	Above_threshold:0.8
Mouse|Granulocytopoietic cells	Human|Neutrophils	0.95	Above_threshold:0.8
Mouse|T cells	Human|CD8 T cells	0.95	Reciprocal_top_hit
Human|Monocytes	Mouse|Neutrophils	0.94	Above_threshold:0.8
Mouse|Macrophage	Human|Neutrophils	0.94	Above_threshold:0.8
Mouse|Monocytes	Human|Monocytes	0.94	Above_threshold:0.8
Mouse|Progenitors	Human|Erythroids	0.93	Above_threshold:0.8
Human|T cells	Mouse|T cells	0.92	Above_threshold:0.8
Human|Granulocyte progenitor	Mouse|Progenitors	0.92	Above_threshold:0.8
Mouse|pDC	Human|pDC	0.92	Reciprocal_top_hit
Human|Macrophage	Mouse|Monocytes	0.91	Above_threshold:0.8
Human|pro-B cells	Mouse|B cells	0.91	Above_threshold:0.8
Human|pre-PC	Mouse|B cells	0.91	Above_threshold:0.8
Mouse|DC	Human|pDC	0.86	Above_threshold:0.8
Human|DC	Mouse|Monocytes	0.84	Above_threshold:0.8
Mouse|Basophil	Human|Neutrophils	0.84	Above_threshold:0.8
Human|Progenitors	Mouse|Erythroids	0.82	Above_threshold:0.8
