Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Fly|PH 1	Fish|HSCs	0.95	Above_threshold:0.75	0.975	fzf	Fly	Fish
Fly|PH 1	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|PH 1	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|PH 1	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|PH 1	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|PH 1	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|PH	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|PM	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|PM 120	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|PM 120	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|PM 120	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|PM 120	Fish|Macrophage	0.78	Above_threshold:0.75	0.89	fzf	Fly	Fish
Fly|PM 120	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|PM 120	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|LM	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|LM	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|LM	Fish|Neutrophil	0.82	Reciprocal_top_hit	0.91	fzf	Fly	Fish
Fly|LM	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|LM	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|LM	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|CC	Fish|NK/T cell	0.89	Reciprocal_top_hit	0.445	fzf	Fly	Fish
Fly|GST-rich	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|GST-rich	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|GST-rich	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|GST-rich	Fish|Macrophage	NS	NS	0	fzf	Fly	Fish
Fly|GST-rich	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|GST-rich	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|HSCs	NS	NS	0	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|Erythroid	NS	NS	0	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|Neutrophil	NS	NS	0	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|Macrophage	0.81	Reciprocal_top_hit	0.573411950864413	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|B cell	NS	NS	0	fzf	Fly	Fish
Fly|Adipohemocyte	Fish|NK/T cell	NS	NS	0	fzf	Fly	Fish
Fish|HSCs	Mouse|Progenitors	NS	NS	0	fm	Fish	Mouse
Fish|HSCs	Mouse|Granulocytopoietic cells	0.84	Above_threshold:0.8	0.92	fm	Fish	Mouse
