Celltype	Fly|PH 1	Fly|PH	Fly|PM	Fly|LM	Fly|PM 120	Fly|Adipohemocyte	Fly|CC	Fly|GST-rich	Fish|HSCs	Fish|Erythroid	Fish|Neutrophil	Fish|Macrophage	Fish|NK/T cell	Fish|B cell	Mouse|Progenitors	Mouse|Granulocytopoietic cells	Mouse|Neutrophils	Mouse|Erythroids	Mouse|Monocytes	Mouse|Macrophage	Mouse|DC	Mouse|pDC	Mouse|Basophil	Mouse|T cells	Mouse|NK cells	Mouse|B cells	Mouse|Plasma cells
Fish|HSCs	0.975	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fish|Erythroid	0.662856531200305	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fish|Neutrophil	0	0	0	0.91	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fish|Macrophage	0	0	0	0	0.89	0.573411950864413	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fish|B cell	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fish|NK/T cell	0	0	0	0	0	0	0.445	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Progenitors	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Granulocytopoietic cells	0.856369644529758	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Neutrophils	0	0	0	0.965	0	0.558840900309511	0	0	0	0	0.975	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Erythroids	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Monocytes	0	0	0.81626387357466	0	0	0	0	0	0	0	0	0.948743189130141	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Macrophage	0	0	0	0	0.813120251902531	0	0	0	0	0	0	0.96	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|DC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|pDC	0	0	0	0	0	0	0.85472509611733	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Basophil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|T cells	0	0	0	0	0	0	0	0	0	0	0	0	0.994973403880048	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|NK cells	0	0	0	0	0	0	0	0	0	0	0	0	0.834289904273377	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|B cells	0.945	0	0	0	0	0	0	0	0	0	0	0	0	0.995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mouse|Plasma cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human|Progenitors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human|Granulocyte progenitor	0	0	0	0	0	0	0	0	0	0.844568652078063	0	0	0	0	0	0.89105672047494	0	0	0	0	0	0	0	0	0	0	0
Human|Erythroids	0	0.891408999730096	0	0	0	0	0	0	0.902545513986679	1	0	0	0	0	0.965	0	0	1	0	0	0	0	0	0	0	0	0
Human|Neutrophils	0	0	0	0	0	0	0	0	0	0	0.898333902096049	0	0	0	0	0.860915528519239	0.951499888883386	0	0	0	0	0	0.870406039310416	0	0	0	0
Human|Monocytes	0	0	0	0.891899254414104	0.95	0.714169733052447	0	0	0	0	0	0.95035882538967	0	0	0	0	0.995	0	0.97	0	0.843196085214848	0	0	0	0	0	0
Human|Macrophage	0	0	0	0.837505343690857	0	0	0	0	0	0	0	0.966698091229607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human|DC	0	0	0	0.915	0	0	0	0	0	0	0	0.95	0	0	0	0	0.850232167572823	0	0	0	0	0	0	0	0	0	0
Human|pDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94	0	0	0	0	0
Human|T cells	0	0	0	0	0	0	0	0	0	0	0	0	0.880967967709932	0	0	0	0	0	0	0	0	0	0	0.92	0	0	0
Human|CD8 T cells	0	0	0	0	0	0	0	0	0	0	0	0	0.808881688088031	0	0	0	0	0	0	0	0	0	0	0.959971223097257	0	0	0
Human|NK cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.995	0	0
Human|pre-PC	0.870122487743199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918975193529066	0
Human|pro-B cells	1	0	0	0	0	0	0	0	0	0.845175706237343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926071058980635	0
