FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
128up	36288	FBgn0010339	128up	Mouse	13494	1343297	Drg1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
14-3-3epsilon	42186	FBgn0020238	14-3-3epsilon	Mouse	22627	894689	Ywhae	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
14-3-3zeta	36059	FBgn0004907	14-3-3zeta	Mouse	22631	109484	Ywhaz	13	12.81	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
140up	41720	FBgn0010340	140up	Mouse	76916	1922139	Timmdc1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
312	38161	FBgn0029514	312	Mouse	75593	1922843	Malsu1	10	9.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
5-HT2B	41017	FBgn0261929	5-HT2B	Mouse	15558	109521	Htr2a	4	4.02	moderate	Yes	No	Hieranoid, OrthoDB, Panther, Phylome
5-HT7	43669	FBgn0004573	5-HT7	Mouse	15566	99841	Htr7	5	5.13	high	Yes	Yes	Hieranoid, Homologene, OrthoFinder, Panther, RoundUp
5PtaseI	326119	FBgn0259178	5PtaseI	Mouse	212111	2686961	Inpp5a	11	10.74	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
7B2	40644	FBgn0041707	7B2	Mouse	20394	98289	Scg5	11	10.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCB7	38193	FBgn0035244	ABCB7	Mouse	11306	109533	Abcb7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCD	43772	FBgn0039890	ABCD	Mouse	26874	1349467	Abcd2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ACC	35761	FBgn0033246	ACC	Mouse	107476	108451	Acaca	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ADPS	36669	FBgn0033983	ADPS	Mouse	228061	2443065	Agps	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGBE	326264	FBgn0053138	AGBE	Mouse	74185	1921435	Gbe1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGO3	3355150	FBgn0250816	AGO3	Mouse	57746	1930036	Piwil2	11	10.78	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIF	33390	FBgn0031392	AIF	Mouse	26926	1349419	Aifm1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP1	35892	FBgn0033351	AIMP1	Mouse	13722	102774	Aimp1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP2	39690	FBgn0036515	AIMP2	Mouse	231872	2385237	Aimp2	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP3	246507	FBgn0050185	AIMP3	Mouse	66143	1913393	Eef1e1	9	8.95	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
ALiX	43330	FBgn0086346	ALiX	Mouse	18571	1333753	Pdcd6ip	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AMPKalpha	43904	FBgn0023169	AMPKalpha	Mouse	108079	1336173	Prkaa2	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AMPdeam	32352	FBgn0052626	AMPdeam	Mouse	109674	88016	Ampd2	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
AP-1-2beta	32987	FBgn0010380	AP-1-2beta	Mouse	11764	1096368	Ap1b1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1gamma	31842	FBgn0030089	AP-1gamma	Mouse	11765	101919	Ap1g1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1mu	41150	FBgn0024833	AP-1mu	Mouse	11767	102776	Ap1m1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1sigma	42835	FBgn0039132	AP-1sigma	Mouse	108012	1889383	Ap1s2	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam
AP-2alpha	33211	FBgn0264855	AP-2alpha	Mouse	11772	101920	Ap2a2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-2mu	42642	FBgn0263351	AP-2mu	Mouse	11773	1298405	Ap2m1	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-2sigma	42525	FBgn0043012	AP-2sigma	Mouse	232910	2141861	Ap2s1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC10	36975	FBgn0034231	APC10	Mouse	68999	1916249	Anapc10	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC4	31835	FBgn0052707	APC4	Mouse	52206	1098673	Anapc4	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC7	31594	FBgn0029879	APC7	Mouse	56317	1929711	Anapc7	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APP-BP1	39244	FBgn0261112	APP-BP1	Mouse	234664	2384561	Nae1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AQP	36456	FBgn0033807	AQP	Mouse	208760	2664636	Aqp12	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ASPP	37422	FBgn0034606	ASPP	Mouse	21981	1336199	Ppp1r13b	14	13.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP6AP2	41104	FBgn0037671	ATP6AP2	Mouse	70495	1917745	Atp6ap2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP7	32142	FBgn0030343	ATP7	Mouse	11977	99400	Atp7a	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP8A	36488	FBgn0259221	ATP8A	Mouse	11980	1330848	Atp8a1	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP8B	41469	FBgn0037989	ATP8B	Mouse	54667	1859660	Atp8b2	11	10.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, orthoMCL, Panther, Phylome, TreeFam
ATPCL	36760	FBgn0020236	ATPCL	Mouse	104112	103251	Acly	13	12.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATPsynC	43693	FBgn0039830	ATPsynC	Mouse	11951	107653	Atp5g1	11	10.96	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
ATPsynE	41745	FBgn0038224	ATPsynE	Mouse	11958	106636	Atp5k	10	9.8	high	Yes	Yes	eggNOG, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATPsynF	37931	FBgn0035032	ATPsynF	Mouse	57423	1927558	Atp5j2	12	11.71	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
ATPsynO	41845	FBgn0016691	ATPsynO	Mouse	28080	106341	Atp5o	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATPsyndelta	31950	FBgn0028342	ATPsyndelta	Mouse	66043	1913293	Atp5d	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATPsyngamma	43507	FBgn0020235	ATPsyngamma	Mouse	11949	1261437	Atp5c1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aatf	33943	FBgn0031851	Aatf	Mouse	56321	1929608	Aatf	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Abl	45821	FBgn0000017	Abl	Mouse	11352	87860	Abl2	10	9.89	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Abp1	39520	FBgn0036372	Abp1	Mouse	13169	700006	Dbnl	12	11.83	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Ac13E	32485	FBgn0022710	Ac13E	Mouse	11515	108450	Adcy9	12	11.82	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Ac3	35419	FBgn0023416	Ac3	Mouse	104111	99675	Adcy3	11	10.88	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Ac78C	40333	FBgn0024150	Ac78C	Mouse	11514	1341110	Adcy8	7	6.93	high	Yes	Yes	eggNOG, Homologene, Inparanoid, OMA, Panther, Phylome, TreeFam
AcCoAS	40348	FBgn0012034	AcCoAS	Mouse	60525	1890410	Acss2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acf	43751	FBgn0027620	Acf	Mouse	217578	1309478	Baz1a	10	10.08	high	Yes	Yes	Compara, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp
Achl	36605	FBgn0033936	Achl	Mouse	67557	1914807	Larp6	9	8.8	high	Yes	Yes	eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ack	38489	FBgn0028484	Ack	Mouse	51789	1858308	Tnk2	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acn	35173	FBgn0263198	Acn	Mouse	56215	1891824	Acin1	10	9.78	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acph-1	48445	FBgn0000032	Acph-1	Mouse	11432	87882	Acp2	12	11.87	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Acsl	46068	FBgn0263120	Acsl	Mouse	74205	1921455	Acsl3	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Act5C	31521	FBgn0000042	Act5C	Mouse	11465	87906	Actg1	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam
AdSL	42051	FBgn0038467	AdSL	Mouse	11564	103202	Adsl	13	12.83	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
AdSS	42466	FBgn0027493	AdSS	Mouse	11566	87948	Adss	13	12.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada	41092	FBgn0037661	Ada	Mouse	75894	1923144	Adal	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2a	326128	FBgn0263738	Ada2a	Mouse	217031	2144471	Tada2a	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2b	40966	FBgn0037555	Ada2b	Mouse	231151	3035274	Tada2b	12	11.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Ada3	32787	FBgn0030891	Ada3	Mouse	101206	1915724	Tada3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdamTS-A	41887	FBgn0286071	AdamTS-A	Mouse	223838	2660628	Adamts20	12	11.86	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Adat1	34787	FBgn0028658	Adat1	Mouse	30947	1353631	Adat1	11	10.77	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Phylome, RoundUp, TreeFam
Adck	37938	FBgn0035039	Adck	Mouse	72113	1919363	Adck1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adgf-A	39976	FBgn0036752	Adgf-A	Mouse	11486	87916	Ada	2	1.85	moderate	Yes	No	eggNOG, Isobase
Adi1	326189	FBgn0052068	Adi1	Mouse	104923	2144929	Adi1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdipoR	42656	FBgn0038984	AdipoR	Mouse	72674	1919924	Adipor1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk1	39396	FBgn0022709	Adk1	Mouse	11636	87977	Ak1	12	11.85	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Adk2	37834	FBgn0283494	Adk2	Mouse	11637	87978	Ak2	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk3	41318	FBgn0042094	Adk3	Mouse	56248	1860835	Ak3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdoR	43583	FBgn0039747	AdoR	Mouse	11540	99402	Adora2a	9	8.73	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aduk	41112	FBgn0037679	Aduk	Mouse	71742	1918992	Ulk3	14	13.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Afti	41744	FBgn0038223	Afti	Mouse	216549	1923012	Aftph	7	7.04	high	Yes	Yes	eggNOG, Inparanoid, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
