FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
128up	36288	FBgn0010339	128up	Human	4733	3029	DRG1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
14-3-3epsilon	42186	FBgn0020238	14-3-3epsilon	Human	7531	12851	YWHAE	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
14-3-3zeta	36059	FBgn0004907	14-3-3zeta	Human	7534	12855	YWHAZ	13	12.81	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
140up	41720	FBgn0010340	140up	Human	51300	1321	TIMMDC1	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
312	38161	FBgn0029514	312	Human	115416	21721	MALSU1	11	10.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
5-HT2A	40575	FBgn0087012	5-HT2A	Human	3358	5295	HTR2C	10	9.79	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
5-HT7	43669	FBgn0004573	5-HT7	Human	3363	5302	HTR7	6	6.14	high	Yes	Yes	Hieranoid, Homologene, OrthoDB, OrthoFinder, Panther, RoundUp
5PtaseI	326119	FBgn0259178	5PtaseI	Human	3632	6076	INPP5A	11	10.74	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
7B2	40644	FBgn0041707	7B2	Human	6447	10816	SCG5	12	11.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCB7	38193	FBgn0035244	ABCB7	Human	22	48	ABCB7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCD	43772	FBgn0039890	ABCD	Human	225	66	ABCD2	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ACC	35761	FBgn0033246	ACC	Human	31	84	ACACA	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ADPS	36669	FBgn0033983	ADPS	Human	8540	327	AGPS	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGBE	326264	FBgn0053138	AGBE	Human	2632	4180	GBE1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGO1	36544	FBgn0262739	AGO1	Human	27161	3263	AGO2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGO3	3355150	FBgn0250816	AGO3	Human	55124	17644	PIWIL2	10	9.73	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIF	33390	FBgn0031392	AIF	Human	9131	8768	AIFM1	11	10.79	high	Yes	Yes	Compara, eggNOG, Homologene, Isobase, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
AIMP1	35892	FBgn0033351	AIMP1	Human	9255	10648	AIMP1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP2	39690	FBgn0036515	AIMP2	Human	7965	20609	AIMP2	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP3	246507	FBgn0050185	AIMP3	Human	9521	3212	EEF1E1	10	9.96	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
ALiX	43330	FBgn0086346	ALiX	Human	10015	8766	PDCD6IP	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
