FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	ZebrafishGeneID	ZFINID	ZebrafishSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
128up	36288	FBgn0010339	128up	Zebrafish	336823	ZDB-GENE-030131-8767	drg1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
14-3-3epsilon	42186	FBgn0020238	14-3-3epsilon	Zebrafish	503763	ZDB-GENE-050306-44	ywhae2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
140up	41720	FBgn0010340	140up	Zebrafish	550526	ZDB-GENE-050417-369	timmdc1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
5-HT2A	40575	FBgn0087012	5-HT2A	Zebrafish	798599	ZDB-GENE-120215-109	htr2cl2	8	7.71	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
5-HT2B	41017	FBgn0261929	5-HT2B	Zebrafish	751784	ZDB-GENE-081022-57	htr2b	5	5.02	moderate	Yes	No	Hieranoid, OrthoDB, OrthoInspector, Panther, Phylome
5-HT7	43669	FBgn0004573	5-HT7	Zebrafish	100536080		htr7	5	5.11	high	Yes	Yes	Hieranoid, Homologene, OrthoDB, OrthoFinder, Panther
5PtaseI	326119	FBgn0259178	5PtaseI	Zebrafish	641571	ZDB-GENE-051127-29	inpp5l	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
7B2	40644	FBgn0041707	7B2	Zebrafish	393699	ZDB-GENE-040426-1687	scg5	11	10.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCB7	38193	FBgn0035244	ABCB7	Zebrafish	566515	ZDB-GENE-050517-10	abcb7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ABCD	43772	FBgn0039890	ABCD	Zebrafish	566367	ZDB-GENE-050517-27	abcd1	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
ADPS	36669	FBgn0033983	ADPS	Zebrafish	386801	ZDB-GENE-031118-14	agps	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
AGBE	326264	FBgn0053138	AGBE	Zebrafish	100333665	ZDB-GENE-110411-171	gbe1a	9	8.81	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
AGO1	36544	FBgn0262739	AGO1	Zebrafish	570630	ZDB-GENE-110606-6	ago2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AGO3	3355150	FBgn0250816	AGO3	Zebrafish	572134	ZDB-GENE-060526-345	piwil2	10	9.75	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AIF	33390	FBgn0031392	AIF	Zebrafish	373125	ZDB-GENE-030826-11	aifm1	11	10.75	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AIMP2	39690	FBgn0036515	AIMP2	Zebrafish	406647	ZDB-GENE-040426-2652	aimp2	9	8.72	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
AIMP3	246507	FBgn0050185	AIMP3	Zebrafish	565440	ZDB-GENE-030131-4949	eef1e1	9	8.95	high	Yes	Yes	eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
ALiX	43330	FBgn0086346	ALiX	Zebrafish	406669	ZDB-GENE-040426-2678	pdcd6ip	13	12.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AMPKalpha	43904	FBgn0023169	AMPKalpha	Zebrafish	100001198	ZDB-GENE-030325-1	prkaa1	11	10.86	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
