Fly	Fly_FF	Fish_FF	Fly_FM	Mouse_FM	Fly_FH	Human_FH
alphaTub85E			alphaTub85E	Tuba1a	alphaTub85E	TUBA1A
betaTub60D	betaTub60D	tubb6	betaTub60D	Tubb3	betaTub60D	TUBB6
CG33225			CG33225	Prss45		
mthl4	mthl4	adgre14	mthl4	Adgre1	mthl4	ADGRF1
RapGAP1	RapGAP1	rap1gap2a	RapGAP1	Rap1gap	RapGAP1	RAP1GAP
ItgaPS4	ItgaPS4	itga4	ItgaPS4	Itga9	ItgaPS4	ITGA4
Drip	Drip	aqp4	Drip	Aqp4		
Acbp2	Acbp2	dbi			Acbp2	DBI
Jupiter					Jupiter	JPT1
shot	shot	macf1a	shot	Dst	shot	DST
Treh	Treh	treh	Treh	Treh	Treh	TREH
Ggamma30A	Ggamma30A	gng13b	Ggamma30A	Gng13	Ggamma30A	GNG13
mys	mys	itgb1a	mys	Itgb1	mys	ITGB1
Fit1	Fit1	fermt2	Fit1	Fermt2	Fit1	FERMT2
Rap1	Rap1	rap1aa	Rap1	Rap1a	Rap1	RAP1A
Cam			Cam	Calm3	Cam	CALM1
CG9932	CG9932	zfp64	CG9932	Zfp462	CG9932	ZNF462
CG5734	CG5734	snx17	CG5734	Snx17	CG5734	SNX17
Act42A			Act42A	Actb		
CG9328	CG9328	fam107b	CG9328	Fam107b	CG9328	FAM107B
Eb1	Eb1	mapre1a	Eb1	Mapre1	Eb1	MAPRE1
Ac78C	Ac78C	adcy8	Ac78C	Adcy8		
rhea	rhea	tln2a	rhea	Tln2	rhea	TLN2
twf	twf	twf1b	twf	Twf1	twf	TWF1
sigmar	sigmar	tnfaip8l1	sigmar	Tnfaip8	sigmar	TNFAIP8
Adk1	Adk1	ak1	Adk1	Ak1	Adk1	AK1
pod1	pod1	coro7	pod1	Coro7	pod1	CORO7-PAM16
CAP	CAP	sorbs3	CAP	Sorbs3	CAP	SORBS3
Itgbn	Itgbn	itgb7				
cher	cher	flncb	cher	Flna	cher	FLNA
betaTub97EF	betaTub97EF	tubb2	betaTub97EF	Tubb2a	betaTub97EF	TUBB2A
Sema1b			Sema1b	Sema6b	Sema1b	SEMA6B
Rab11	Rab11	rab11a	Rab11	Rab11b	Rab11	RAB11A
ATP8A	ATP8A	atp8a2	ATP8A	Atp8a1	ATP8A	ATP8A1
LamC	LamC	lmnb2	LamC	Lmnb2	LamC	LMNB2
CG42675	CG42675	zc2hc1a			CG42675	ZC2HC1A
alphaTub84B	alphaTub84B	tuba1a	alphaTub84B	Tuba3b	alphaTub84B	TUBA3D
Frl	Frl	fmnl2a	Frl	Fmnl1	Frl	FMNL3
prominin-like	prominin-like	prom1a	prominin-like	Prom1	prominin-like	PROM1
Cp1			Cp1	Ctsl	Cp1	CTSV
CG4793			CG4793	Prss28	CG4793	TPSB2
Pax	Pax	pxna	Pax	Pxn	Pax	PXN
CG8312	CG8312	fam43a	CG8312	Fam43a	CG8312	FAM43A
ringer					ringer	TPPP3
nuf	nuf	rab11fip4a	nuf	Rab11fip4	nuf	RAB11FIP4
Gapdh2	Gapdh2	gapdh				
mew	mew	itga6a	mew	Itga6	mew	ITGA6
Dgk	Dgk	dgkaa	Dgk	Dgkb	Dgk	DGKB
Rab35	Rab35	rab35b	Rab35	Rab35	Rab35	RAB35
Abl	Abl	abl2	Abl	Abl2	Abl	ABL2
Adgf-A			Adgf-A	Ada	Adgf-A	ADA2
bves	bves	bves	bves	Bves	bves	BVES
krz	krz	arrb1	krz	Arrb1	krz	ARRB1
ItgaPS5					ItgaPS5	ITGA9
wun2	wun2	plpp3	wun2	Plpp1	wun2	PLPP3
Scamp	Scamp	scamp1	Scamp	Scamp1	Scamp	SCAMP3
CG17841	CG31729	atp9b	CG17841	Fam57b	CG31729	ATP9B
CG31729			CG31729	Atp9b		
CG4511	CG4511	txndc9	CG4511	Txndc9	CG4511	TXNDC9
ifc	ifc	degs2	ifc	Degs2	ifc	DEGS2
rdgB	rdgB	pitpnm3	rdgB	Pitpnm2	rdgB	PITPNM2
Gdap2	Gdap2	gdap2	Gdap2	Gdap2	Gdap2	GDAP2
Ras85D	Ras85D	kras	Ras85D	Kras	Ras85D	HRAS
glob1	glob1	cygb1	glob1	Cygb	glob1	CYGB
MESK2	MESK2	ndrg3b	MESK2	Ndrg1	MESK2	NDRG3
NKAIN	NKAIN	nkain1	NKAIN	Nkain3	NKAIN	NKAIN2
CG7956	CG7956	inpp5f	CG7956	Inpp5f	CG7956	INPP5F
C3G	C3G	rapgef1b	C3G	Rapgef1	C3G	RAPGEF1
lap	lap	picalma	lap	Picalm	lap	PICALM
