ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
ABCD2	100537809		LOC100537809	Mouse	26874	1349467	Abcd2	6	5.85	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, Panther, Phylome
ACER2	100331179	ZDB-GENE-121026-1	acer2	Mouse	230379	1920932	Acer2	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ACSF3	562292	ZDB-GENE-121026-3	acsf3	Mouse	257633	2182591	Acsf3	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ADAMTS1	565145	ZDB-GENE-070814-1	adamts1	Mouse	11504	109249	Adamts1	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
ADAMTS7	560364		adamts7	Mouse	108153	1347346	Adamts7	8	7.85	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther
ADAMTSL5	101886605	ZDB-GENE-161017-76	adamtsl5	Mouse	66548	1913798	Adamtsl5	12	12.38	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
AGAP3	324332	ZDB-GENE-110927-1	agap3	Mouse	213990	2183446	Agap3	8	8.36	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, Panther, Phylome, ZFIN
AGBL1	100536841		agbl1	Mouse	244071	3646469	Agbl1	5	4.95	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder
AIFM2	557507	ZDB-GENE-050506-76	aifm2	Mouse	71361	1918611	Aifm2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
AKT1	101910198	ZDB-GENE-130730-1	akt1	Mouse	11651	87986	Akt1	5	5.62	high	Yes	Yes	OMA, OrthoDB, OrthoFinder, Panther, ZFIN
ANKRD34A	798097		ankrd34a	Mouse	545554	3617846	Ankrd34a	8	7.78	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
ANKRD34C	566743	ZDB-GENE-121105-3	ankrd34c	Mouse	330998	2685617	Ankrd34c	13	13.27	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam, ZFIN
