ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
ABCD2	100537809		LOC100537809	Human	225	66	ABCD2	5	4.84	high	Yes	Yes	Compara, eggNOG, OrthoFinder, Panther, Phylome
ACER2	100331179	ZDB-GENE-121026-1	acer2	Human	340485	23675	ACER2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ACSF3	562292	ZDB-GENE-121026-3	acsf3	Human	197322	27288	ACSF3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ADAMTS1	565145	ZDB-GENE-070814-1	adamts1	Human	9510	217	ADAMTS1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ADAMTS7	560364		adamts7	Human	11173	223	ADAMTS7	8	7.85	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther
ADAMTSL5	101886605	ZDB-GENE-161017-76	adamtsl5	Human	339366	27912	ADAMTSL5	12	12.38	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
AGAP3	324332	ZDB-GENE-110927-1	agap3	Human	116988	16923	AGAP3	8	8.36	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, Panther, Phylome, ZFIN
AGBL1	100536841		agbl1	Human	123624	26504	AGBL1	5	4.95	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder
AIFM2	557507	ZDB-GENE-050506-76	aifm2	Human	84883	21411	AIFM2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
AKT1	101910198	ZDB-GENE-130730-1	akt1	Human	207	391	AKT1	5	5.62	high	Yes	Yes	OMA, OrthoDB, OrthoFinder, Panther, ZFIN
ALX3	566955	ZDB-GENE-120221-3	alx3	Human	257	449	ALX3	11	11.46	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
ANKFN1	100333998	ZDB-GENE-130603-21	si:ch211-277e21.2	Human	162282	26766	ANKFN1	9	8.82	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
ANKRD34A	798097		ankrd34a	Human	284615	27639	ANKRD34A	9	8.79	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
ANKRD66	101886816		ankrd66	Human	100287718	44669	ANKRD66	6	6	high	Yes	Yes	Compara, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder
ANO7	556876	ZDB-GENE-131125-81	si:dkey-83h2.5	Human	50636	31677	ANO7	12	11.87	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AP3B1	563316	ZDB-GENE-031112-8	ap3b1a	Human	8546	566	AP3B1	5	5.37	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, TreeFam, ZFIN
AP3B2	100000165		ap3b2	Human	8120	567	AP3B2	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
APBB3	101883158	ZDB-GENE-140106-53	apbb3	Human	10307	20708	APBB3	10	10.29	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
AREL1	100332031	ZDB-GENE-140106-259	arel1	Human	9870	20363	AREL1	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
ARF5	378724	ZDB-GENE-030910-5	arf5	Human	381	658	ARF5	8	7.73	moderate	Yes	No	eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Phylome, TreeFam
ARHGAP18	100004252	ZDB-GENE-070502-1	arhgap18	Human	93663	21035	ARHGAP18	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ARHGAP28	492794	ZDB-GENE-041114-147	arhgap28	Human	79822	25509	ARHGAP28	8	8.18	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Phylome, TreeFam, ZFIN
ARMC6	555425	ZDB-GENE-100616-1	armc6	Human	93436	25049	ARMC6	9	9.55	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, ZFIN
ARSJ	559800	ZDB-GENE-111215-1	arsj	Human	79642	26286	ARSJ	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ATG2A	101883461	ZDB-GENE-091204-142	si:ch73-45o6.2	Human	23130	29028	ATG2A	8	8.05	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
ATP7B	556499	ZDB-GENE-061220-5	atp7b	Human	540	870	ATP7B	12	12.25	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ATXN1L	793927	ZDB-GENE-090908-1	atxn1l	Human	342371	33279	ATXN1L	10	10.58	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, ZFIN
BAALC	101884762	ZDB-GENE-030616-613	si:ch211-215i13.3	Human	79870	14333	BAALC	2	2.01	moderate	Yes	No	OrthoDB, OrthoFinder
BBOF1	565282	ZDB-GENE-081105-138	si:ch211-163l21.10	Human	80127	19855	BBOF1	12	11.84	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
BCL6B	793278	ZDB-GENE-120907-1	bcl6b	Human	255877	1002	BCL6B	7	7.34	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, ZFIN
BMT2	558558	ZDB-GENE-060825-17	bmt2	Human	154743	26475	BMT2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
BNC1	568786	ZDB-GENE-030131-3725	bnc1	Human	646	1081	BNC1	13	13.22	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
BRPF1	393991	ZDB-GENE-040426-731	brpf1	Human	7862	14255	BRPF1	4	4.51	moderate	Yes	No	Homologene, OrthoDB, OrthoFinder, ZFIN
BRSK1	558390	ZDB-GENE-131122-54	si:dkey-16p21.7	Human	84446	18994	BRSK1	6	5.87	moderate	Yes	No	eggNOG, Homologene, OrthoDB, orthoMCL, Panther, TreeFam
BUD13	564510	ZDB-GENE-030131-6333	bud13	Human	84811	28199	BUD13	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
C1QTNF7	564609		c1qtnf7	Human	114905	14342	C1QTNF7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
C1S	793529	ZDB-GENE-030131-1232	c1s	Human	716	1247	C1S	2	2.51	moderate	Yes	No	OMA, ZFIN
C2CD2	100332559		c2cd2	Human	25966	1266	C2CD2	8	8.05	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
CAAP1	100329847		caap1	Human	79886	25834	CAAP1	12	11.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CABZ01055343.1	100536527	ZDB-GENE-150903-1	dnaaf3l	Human	352909	30492	DNAAF3	8	8.1	moderate	Yes	No	Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, RoundUp
CACUL1	100538081	ZDB-GENE-170113-2	cacul1	Human	143384	23727	CACUL1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
