FlyGeneID	ZebrafishGeneID	MouseGeneID	HumanSymbol
128up	drg1	Drg1	DRG1
5PtaseI	inpp5l	Inpp5a	INPP5A
7B2	scg5	Scg5	SCG5
ABCB7	abcb7	Abcb7	ABCB7
ABCD	abcd1	Abcd1	ABCD1
ADPS	agps	Agps	AGPS
AGBE	gbe1a	Gbe1	GBE1
AIF	aifm1	Aifm1	AIFM1
AIMP2	aimp2	Aimp2	AIMP2
AIMP3	eef1e1	Eef1e1	EEF1E1
ALiX	pdcd6ip	Pdcd6ip	PDCD6IP
AMPKalpha	prkaa1	Prkaa1	PRKAA1
AMPdeam	ampd2a	Ampd2	AMPD2
AP-1-2beta	ap1b1	Ap1b1	AP1B1
AP-1gamma	ap1g1	Ap1g1	AP1G1
AP-1mu	ap1m1	Ap1m1	AP1M1
AP-1sigma	ap1s1	Ap1s1	AP1S1
AP-2alpha	ap2a1	Ap2a1	AP2A1
AP-2mu	ap2m1b	Ap2m1	AP2M1
AP-2sigma	ap2s1	Ap2s1	AP2S1
APC10	anapc10	Anapc10	ANAPC10
APC4	anapc4	Anapc4	ANAPC4
APC7	anapc7	Anapc7	ANAPC7
APP-BP1	nae1	Nae1	NAE1
ASPP	ppp1r13bb	Ppp1r13b	PPP1R13B
ATP6AP2	atp6ap2	Atp6ap2	ATP6AP2
ATP8A	atp8a2	Atp8a2	ATP8A2
Aatf	aatf	Aatf	AATF
Abi	abi2a	Abi2	ABI2
Abl	abl2	Abl2	ABL2
Abp1	dbnlb	Dbnl	DBNL
Ac13E	adcy9	Adcy9	ADCY9
AcCoAS	acss2	Acss2	ACSS2
Acbp2	dbi	Dbi	DBI
Ace	ache	Ache	ACHE
Acf	baz1a	Baz1a	BAZ1A
Acn	acin1b	Acin1	ACIN1
AdSL	adsl	Adsl	ADSL
AdSS	adssl1	Adssl1	ADSSL1
Ada	adal	Adal	ADAL
Ada2a	tada2a	Tada2a	TADA2A
Ada2b	tada2b	Tada2b	TADA2B
Ada3	tada3l	Tada3	TADA3
Adar	adarb1b	Adarb1	ADARB1
Adat1	adat1	Adat1	ADAT1
Adck	adck1	Adck1	ADCK1
AdenoK	adka	Adk	ADK
Adi1	adi1	Adi1	ADI1
AdipoR	adipor1b	Adipor1	ADIPOR1
Adk2	ak2	Ak2	AK2
Adk3	ak3	Ak3	AK3
Afti	aftpha	Aftph	AFTPH
AhcyL2	ahcyl2	Ahcyl2	AHCYL2
Alas	alas2	Alas2	ALAS2
Aldh	aldh2.1	Aldh2	ALDH2
Aldh7A1	aldh7a1	Aldh7a1	ALDH7A1
Alg-2	pdcd6	Pdcd6	PDCD6
Alg1	alg1	Alg1	ALG1
Alg10	alg10	Alg10b	ALG10B
Alg11	alg11	Alg11	ALG11
Alg14	alg14	Alg14	ALG14
Alg2	alg2	Alg2	ALG2
Alg3	alg3	Alg3	ALG3
Alg9	alg9	Alg9	ALG9
Alh	mllt10	Mllt10	MLLT10
Alk	ltk	Ltk	LTK
AlkB	alkbh1	Alkbh1	ALKBH1
Alr	gfer	Gfer	GFER
Als2	als2b	Als2	ALS2
Amacr	amacr	Amacr	AMACR
Amph	bin1b	Bin1	BIN1
Ank	ank1b	Ank1	ANK1
Ankle2	ankle2	Ankle2	ANKLE2
Aos1	sae1	Sae1	SAE1
ApepP	xpnpep1	Xpnpep1	XPNPEP1
Apf	nudt2	Nudt2	NUDT2
Aprt	aprt	Aprt	APRT
Archease	zbtb8os	Zbtb8os	ZBTB8OS
Arf51F	arf6a	Arf6	ARF6
ArfGAP3	arfgap2	Arfgap2	ARFGAP2
Arfrp1	arfrp1	Arfrp1	ARFRP1
ArgRS	rars	Rars	RARS
ArgRS-m	rars2	Rars2	RARS2
Argl	asl	Asl	ASL
Arl1	arl1	Arl1	ARL1
Arl2	arl2	Arl2	ARL2
Arl4	arl4ab	Arl4a	ARL4A
Arl6	arl6	Arl6	ARL6
Arl6IP1	arl6ip1	Arl6ip1	ARL6IP1
Arl8	arl8ba	Arl8b	ARL8B
Arp1	actr1	Actr1b	ACTR1B
Arp10	actr10	Actr10	ACTR10
Arp3	actr3	Actr3	ACTR3
Arp5	actr5	Actr5	ACTR5
