MouseGeneID	MouseGeneID.1	MGIID	MouseSymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
0610007P14Rik	58520	1915571	Erg28	Human	11161	1187	ERG28	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
0610010F05Rik	71675	1918925	0610010F05Rik	Human	84542	29387	KIAA1841	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
0610010K14Rik	104457	1915609	0610010K14Rik	Human	124944	28737	C17orf49	15	15.24	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
0610030E20Rik	68364	1915614	0610030E20Rik	Human	388969	34353	C2orf68	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
0610040J01Rik	76261	1923511	0610040J01Rik	Human	55286	25618	C4orf19	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110004F10Rik	56372	1929274	1110004F10Rik	Human	10944	16990	C11orf58	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110008P14Rik	73737	1920987	1110008P14Rik	Human	79095	17823	C9orf16	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110012J17Rik	68617	1915867	Mtcl1	Human	23255	29121	MTCL1	14	14.27	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1110012L19Rik	68618	1915868	1110012L19Rik	Human	91966	28089	CXorf40A	13	13.39	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
1110017D15Rik	73721	1920971	1110017D15Rik	Human	84688	19919	C9orf24	15	15.24	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110021L09Rik	76306	1923556	Slc18b1	Human	116843	21573	SLC18B1	12	12.48	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
1110032A03Rik	68721	1915971	1110032A03Rik	Human	64776	1163	C11orf1	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110032A04Rik	66183	1913433	Sptssb	Human	165679	24045	SPTSSB	13	13.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110032F04Rik	68725	1915975	1110032F04Rik	Human	401097	40048	C3orf80	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110037F02Rik	66185	1913435	Virma	Human	25962	24500	VIRMA	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1110038F14Rik	117171	2152337	1110038F14Rik	Human	65265	26104	C8orf33	13	13.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110051M20Rik	228356	1915079	1110051M20Rik	Human	79096	28720	C11orf49	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110059E24Rik	66206	1913456	1110059E24Rik	Human	138241	28784	C9orf85	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110059G10Rik	66202	1913452	1110059G10Rik	Human	57456	29198	KIAA1143	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1110065P20Rik	68920	1916170	1110065P20Rik	Human	127687	24789	C1orf122	10	10.53	high	Yes	Yes	Compara, HGNC, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
1190005I06Rik	68918	1916168	1190005I06Rik	Human	404550	23362	C16orf74	13	13.38	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1190007I07Rik	544717	3698433	1190007I07Rik	Human	728568	34450	C12orf73	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1500009L16Rik	69784	1917034	1500009L16Rik	Human	387882	35164	C12orf75	11	11.43	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
1600012H06Rik	67912	1915162	1600012H06Rik	Human	387263	21247	C6orf120	13	13.39	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
1600014C10Rik	72244	1919494	1600014C10Rik	Human	83636	25443	C19orf12	11	11.53	high	Yes	Yes	Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
1600021P15Rik	239796	1917028	Mb21d2	Human	151963	30438	MB21D2	15	15.3	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700001L19Rik	69315	1916565	1700001L19Rik	Human	134121	27028	C5orf49	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700001O22Rik	73598	1923631	1700001O22Rik	Human	375759	23677	C9orf50	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700001P01Rik	72215	1919465	1700001P01Rik	Human	388381	34492	C17orf98	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700003E16Rik	71837	1919087	1700003E16Rik	Human	388963	34350	C2orf81	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700003F12Rik	75480	1922730	1700003F12Rik	Human	128864	16137	C20orf144	13	13.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700003M02Rik	69329	1916579	Cfap206	Human	154313	21405	CFAP206	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700007I08Rik	70362	1917612	Actl10	Human	170487	16127	ACTL10	14	14.34	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
1700007K09Rik	69318	1916568	Fam24b	Human	196792	23475	FAM24B	7	7.5	moderate	Yes	No	eggNOG, HGNC, OMA, OrthoInspector, Panther, RoundUp, TreeFam
1700007K13Rik	69327	1916577	1700007K13Rik	Human	138162	28435	C9orf116	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700008O03Rik	69349	1916599	1700008O03Rik	Human	342918	40041	C19orf81	11	11.45	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, TreeFam
1700011E24Rik	75467	1922717	Stpg4	Human	285051	26850	STPG4	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700011I03Rik	75444	1922694	Ccdc192	Human	728586	49566	CCDC192	7	7.54	high	Yes	Yes	Compara, HGNC, Hieranoid, OMA, OrthoFinder, OrthoInspector, Panther
1700011L22Rik	67687	1914937	1700011L22Rik	Human	646603	37264	C4orf51	12	12.23	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp
1700012B09Rik	69325	1916575	1700012B09Rik	Human	643037	49544	C11orf97	7	7.54	high	Yes	Yes	Compara, HGNC, Hieranoid, Homologene, OMA, OrthoFinder, Panther
1700013F07Rik	75504	1922754	1700013F07Rik	Human	127003	32331	C1orf194	13	13.19	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
1700015E13Rik	76925	1924175	Spata46	Human	284680	27648	SPATA46	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
