Fly (ref)	Fly_FF	Fish_FF	Fly_FM	Mouse_FM	Fly_FH	Human_FH
Dl	Dl	dld	Dl	Dll1	Dl	DLL1
Fas2	Fas2	ncam1b	Fas2	Ncam2	Fas2	NCAM2
grh	grh	grhl2b	grh	Grhl1	grh	GRHL1
sbb	sbb	znf609a	sbb	Zfp609	sbb	ZNF609
ab			ab	Zbtb37	ab	ZBTB37
hth	hth	meis1b	hth	Meis2	hth	MEIS1
Tet	Tet	tet3	Tet	Tet3	Tet	TET3
brat	brat	trim2a	brat	Trim3	brat	TRIM3
CG42342			CG42342	Col13a1	CG42342	COL13A1
bi	bi	tbx3a	bi	Tbx2	bi	TBX2
E(spl)m3-HLH			E(spl)m3-HLH	Hes6	E(spl)m3-HLH	HES6
CG10939			CG10939	Slc9a3r1	CG10939	SLC9A3R1
ft			ft	Fat4	ft	FAT4
fj		mbnl2	fj	Fjx1	fj	FJX1
mbl	mbl	hmgb2b	mbl	Mbnl2	mbl	MBNL2
Dsp1	Dsp1	crb2b	Dsp1	Hmgb3	Dsp1	HMGB3
crb	crb	nbeaa	crb	Crb2	crb	CRB1
rg	rg	sdc2	rg	Nbea	rg	NBEA
Sdc	Sdc	tle3b	Sdc	Sdc2	Sdc	SDC4
shg			shg	Cdh20		
ovo			ovo	Ovol1	ovo	OVOL1
CG18507			CG18507	Tmem268	CG18507	TMEM268
jim					jim	ZNF708
gro	gro	rbfox1	gro	Tle3	gro	TLE4
Rbfox1	Rbfox1	nkd1	Rbfox1	Rbfox1	Rbfox1	RBFOX1
nkd	nkd	add3a	nkd	Nkd2	nkd	NKD1
Ten-a					Ten-a	TENM3
hts	hts	smtna	hts	Add1	hts	ADD1
CG34417	CG34417	txnipa	CG34417	Smtnl1	CG34417	SMTNL1
Vdup1	Vdup1	ssbp3a				
crol			crol	Zfp74	crol	ZNF569
Ssdp	Ssdp	rcc2	Ssdp	Ssbp2	Ssdp	SSBP3
Lac			Lac	Negr1	Lac	NEGR1
CG9135	CG9135	her9	CG9135	Rcc2	CG9135	RCC2
dpn	dpn	lrrn1			dpn	HES1
Fas1			Fas1	Postn	Fas1	POSTN
trn	trn	arhgef10la	trn	Lrrn2	trn	LRRN2
CG43658	CG43658	pax6a	CG43658	Arhgef10	CG43658	ARHGEF10L
toy	toy	plekha5	toy	Pax6	toy	PAX6
bowl			bowl	Osr2		
CG34383	CG34383	veph1	CG34383	Plekha5	CG34383	PLEKHA5
melt	melt	brdt	melt	Veph1	melt	VEPH1
fs(1)h	fs(1)h	ctbp1	fs(1)h	Brd4	fs(1)h	BRD4
CtBP	CtBP	ckmt1	CtBP	Ctbp2	CtBP	CTBP2
Argk	Argk	usp54a	Argk	Ckm	Argk	CKM
ec	ec	igsf9bb	ec	Usp53	ec	USP54
tutl	tutl	gstm.2	tutl	Igsf9b	tutl	IGSF9
GstS1	GstS1	g3bp1	GstS1	Hpgds	GstS1	HPGDS
SP1173			SP1173	Mfsd6l		
rin	rin	rerea	rin	G3bp1	rin	G3BP1
Gug	Gug	tec	Gug	Rere	Gug	RERE
Btk29A	Btk29A	fzd5	Btk29A	Tec	Btk29A	TEC
fz2	fz2	ostf1	fz2	Fzd8	fz2	FZD5
CG44838	CG44838	nos1apa	CG44838	Ostf1	CG44838	OSTF1
Phs					Phs	TPO
CG42673	CG42673	chd8	CG42673	Nos1ap	CG42673	NOS1AP
CG18190			CG18190	Mapre2	CG18190	MAPRE2
kis	kis	adgrf6	kis	Chd7	kis	CHD7
HmgD					HmgD	HMGB2
dpy	dpy	tjp2a	dpy	Fbn2	dpy	FBN2
His4r			His4r	Hist1h4n	His4r	HIST1H4L
pyd	pyd	sema6dl	pyd	Tjp2	pyd	TJP2
Sema1a	Sema1a	pabpn1	Sema1a	Sema6d	Sema1a	SEMA6A
Pabp2	Pabp2	ciz1b	Pabp2	Pabpn1	Pabp2	PABPN1
Pep	Pep	lsm14aa				
tral	tral	dazap1	tral	Lsm14a	tral	LSM14A
CG13917			CG13917	Btbd8	CG13917	BTBD8
